,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,30-03-2020 12:17:32,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,1,нет,Тбилиси,0.25 гр,0.0267,14769,5415,489,190.0,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,30-03-2020 12:17:32,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0163,9328,3420,309,120.0,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
2,2,30-03-2020 12:17:32,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,13,нет,Тбилиси,1 гр,0.0061,3343,1226,111,43.0,True,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
3,3,30-03-2020 12:17:32,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,13,нет,Тбилиси,1 гр,0.0077,4664,1710,155,60.0,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,30-03-2020 12:17:32,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0071,3887,1425,129,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,30-03-2020 12:17:32,Tbilisi,e56bb6ca93,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,True,3,нет,Тбилиси,1 гр,0.0058,3187,1169,106,41.0,,,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
6,6,30-03-2020 12:17:32,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,13,нет,Тбилиси,1 гр,0.0054,2954,1083,98,38.0,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,7,30-03-2020 12:17:32,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0257,14691,5387,487,189.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,30-03-2020 12:17:32,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,7,нет,Тбилиси,1 гр,0.0053,3187,1169,106,41.0,True,,,,,,,,,,Hybrid Ana-sha 1G.
9,9,30-03-2020 12:17:32,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,3,нет,Тбилиси,1 гр,0.078,42753,15675,1416,550.0,True,,,,,,,,,,Metadon VHQ 1 24/7
10,10,30-03-2020 12:17:32,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,11,нет,Тбилиси,1 гр,0.0061,3343,1226,111,43.0,True,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
11,11,30-03-2020 12:17:32,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,9,нет,Тбилиси,1 гр,0.0213,11660,4275,386,150.0,,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
12,12,30-03-2020 12:17:32,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0254,13914,5102,461,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
13,13,30-03-2020 12:17:32,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.11599999999999999,69959,25650,2318,900.0,True,,,,,,,,,,Metadon 1gr
