,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,31-03-2020 06:23:52,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,1,нет,Тбилиси,0.5 гр,0.0125,3221,228,7000,,,,,,,,,,,,0.5 a-pvp white
1,1,31-03-2020 06:23:52,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0132,2822,258,7696,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,31-03-2020 06:23:52,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,1,нет,Тбилиси,0.7 гр,0.012,2708,247,7385,95.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
3,3,31-03-2020 06:23:52,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,1 гр,0.0076,1710,156,4664,60.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,31-03-2020 06:23:52,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0215,5522,391,12000,,,,,,,,,,,,1 a-pvp white
5,5,31-03-2020 06:23:52,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.006999999999999999,1425,130,3887,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,31-03-2020 06:23:52,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,11,нет,Тбилиси,1 гр,0.0053,1083,99,2954,38.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,7,31-03-2020 06:23:52,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0252,5387,492,14691,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,31-03-2020 06:23:52,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0052,1169,107,3187,41.0,,,,,,,,,,,Hybrid Ana-sha 1G.
9,9,31-03-2020 06:23:52,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",True,8,нет,Тбилиси,1 гр,0.006,1226,112,3343,43.0,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
10,10,31-03-2020 06:23:52,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0209,4275,390,11660,150.0,True,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
11,11,31-03-2020 06:23:52,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0249,5102,466,13914,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
12,12,31-03-2020 06:23:52,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1137,25650,2342,69959,900.0,,,,,,,,,,,Metadon 1gr
13,13,31-03-2020 06:23:52,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0104,2138,195,5830,75.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,31-03-2020 06:23:52,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,1,нет,Тбилиси,2 гр,0.0096,1967,180,5364,69.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,15,31-03-2020 06:23:52,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,2 гр,0.0096,1967,180,5364,69.0,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
