,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,23-05-2020 05:48:36,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0169,11429,4301,381,159.0,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,23-05-2020 05:48:36,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,5,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,23-05-2020 05:48:36,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,7,нет,Тбилиси,0.5 гр,0.003,2085,784,70,29.0,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,23-05-2020 05:48:36,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,4,нет,Тбилиси,0.5 гр,0.0138,9344,3517,312,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,23-05-2020 05:48:36,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.005,3738,1407,125,52.0,,,,,,,,,,,,Lsd 25 buds 1 GR
5,5,23-05-2020 05:48:36,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0249,17251,6492,576,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
6,6,23-05-2020 05:48:36,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0859,64692,24345,2159,900.0,,,,,,,,,,,,Metadon 1gr
7,7,23-05-2020 05:48:36,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,6,нет,Тбилиси,1 гр,0.0253,17179,6465,573,239.0,True,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,8,23-05-2020 05:48:36,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.011000000000000001,7547,2840,252,105.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,23-05-2020 05:48:36,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0093,6397,2407,213,89.0,,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
10,10,23-05-2020 05:48:36,Tbilisi,917bf145e7,LSD 25 buds 2 GR,True,4,нет,Тбилиси,2 гр,0.0091,6829,2570,228,95.0,,,,,,,,,,,,LSD 25 buds 2 GR
11,11,23-05-2020 05:48:36,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,3,нет,Тбилиси,2 гр,0.0093,6397,2407,213,89.0,,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
