,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-04-2020 01:09:42,Tbilisi,dd631c4acf,.✨0.50 gram. MDMA✨.,True,1,нет,Тбилиси,0.5 гр,0.0094,5089,1891,174,69.0,,,,,,,,,,,,.✨0.50 gram. MDMA✨.
1,1,11-04-2020 01:09:42,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0216,13718,5096,468,186.0,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
2,2,11-04-2020 01:09:42,Tbilisi,2f51af8159,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,3,нет,Тбилиси,0.5 гр,0.0041,2213,822,75,30.0,True,,,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
3,3,11-04-2020 01:09:42,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0149,8039,2987,274,109.0,,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,11-04-2020 01:09:42,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,3,нет,Тбилиси,1 гр,0.0041,2213,822,75,30.0,,,,,,,,,,,,1 gr listja plus galovki marihuana
5,5,11-04-2020 01:09:42,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0812,44251,16440,1510,600.0,True,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
6,6,11-04-2020 01:09:42,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.1082,59001,21920,2013,800.0,,,,,,,,,,,,Metadon VHQ 1 24/7
7,7,11-04-2020 01:09:42,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,9,нет,Тбилиси,1 гр,0.0028,1696,630,58,23.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
8,8,11-04-2020 01:09:42,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1107,66376,24660,2264,900.0,,,,,,,,,,,,Metadon 1gr
9,9,11-04-2020 01:09:42,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0025,1475,548,50,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
10,10,11-04-2020 01:09:42,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.006,3319,1233,113,45.0,,True,,,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
11,11,11-04-2020 01:09:42,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0113,6121,2274,209,83.0,True,,True,,,,,,,,,2g super Skunk top class buds. Indica
12,12,11-04-2020 01:09:42,Tbilisi,e56bb6ca93,2g zkittlez auto. 420 Strain. LIMITED!,True,1,нет,Тбилиси,2 гр,0.012,6564,2439,224,89.0,,,,,,,,,,,,2g zkittlez auto. 420 Strain. LIMITED!
13,13,11-04-2020 01:09:42,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,1,нет,Тбилиси,2 гр,0.0064,3466,1288,118,47.0,,,,,,,,,,,,2gr Indica dominant Buds
14,14,11-04-2020 01:09:42,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0096,5163,1918,176,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,15,11-04-2020 01:09:42,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,3,нет,Тбилиси,2 гр,0.0043,2581,959,88,35.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
16,16,11-04-2020 01:09:42,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,2 гр,0.0043,2581,959,88,35.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
