,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
22,22,17-07-2020 22:36:09,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,,19,нет,Тбилиси,3 гр,0.0059,3944,1515,132,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,17-07-2020 22:36:09,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,,3,нет,Тбилиси,3 гр,0.0158,10757,4133,360,150.0,True,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
24,24,17-07-2020 22:36:09,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,True,8,нет,Тбилиси,3 гр,0.0036,2438,937,82,34.0,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan
25,25,17-07-2020 22:36:09,Tbilisi,e771f4c371,4.2G Delta Kush 26%THC *VHQ* FROM EUROPE,True,,2,нет,Тбилиси,4.2 гр,0.0211,14343,5510,480,200.0,,,,,,,,,,,4.2G Delta Kush 26%THC *VHQ* FROM EUROPE
26,26,17-07-2020 22:36:09,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,,1,нет,Тбилиси,5 гр,0.0274,18646,7163,624,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
27,27,17-07-2020 22:36:09,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,1,нет,Тбилиси,5 гр,0.0296,20080,7714,672,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,17-07-2020 22:36:09,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,,2,нет,Тбилиси,5 гр,0.0285,19363,7439,648,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,17-07-2020 22:36:09,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,,1,нет,Тбилиси,5 гр,0.0187,13984,5372,468,195.0,,,,,,,,,,,5g. marihuana shishki Critical
30,30,17-07-2020 22:36:09,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,,2,нет,Тбилиси,10 гр,0.0461,32271,12398,1080,450.0,,,,,,,,,,,Gashish Evro 10gr
31,31,17-07-2020 22:36:09,Tbilisi,8528108b62,12g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.0317,23666,9092,792,330.0,,,,,,,,,,,12g. marihuana shishki Critical
32,32,17-07-2020 22:36:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,,1,нет,Тбилиси,60 гр,0.213,143428,55100,4799,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,33,17-07-2020 22:36:09,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++,True,,нет,17,Тбилиси,0.25 гр,0.0042,2869,1102,96,40.0,,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++
34,34,17-07-2020 22:36:09,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,True,,нет,2,Тбилиси,0.5 гр,0.0222,15060,5786,504,210.0,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
35,35,17-07-2020 22:36:36,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,True,,нет,10,Тбилиси,4 гр,0.0062,4661,1791,156,65.0,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
36,36,17-07-2020 22:36:36,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,,нет,10,Тбилиси,5 гр,0.0264,17928,6888,600,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,37,17-07-2020 22:36:36,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,3,Тбилиси,5 гр,0.057999999999999996,39443,15153,1320,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,38,17-07-2020 22:36:36,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,2,6,Тбилиси,5 гр,0.0285,19363,7439,648,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,39,17-07-2020 22:36:36,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.028999999999999998,19721,7576,660,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,17-07-2020 22:36:36,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,1,4,Тбилиси,5 гр,0.0253,17211,6612,576,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,41,17-07-2020 22:36:36,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,6,Тбилиси,5 гр,0.0295,20080,7714,672,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,17-07-2020 22:36:36,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0285,19363,7439,648,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,17-07-2020 22:36:36,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.021,15705,6033,526,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,17-07-2020 22:36:36,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,3,Тбилиси,5 гр,0.0285,19363,7439,648,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,45,17-07-2020 22:36:36,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2542,190000,87429,6399,,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,17-07-2020 22:36:36,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2878,215142,82650,7199,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,17-07-2020 22:36:36,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,True,,нет,4,Тбилиси,5 гр,0.0528,35857,13775,1200,500.0,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
48,48,17-07-2020 22:36:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,,нет,3,Тбилиси,5 гр,0.0243,16336,6290,547,,,200.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
49,49,17-07-2020 22:36:36,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.095,64543,24795,2160,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,17-07-2020 22:36:36,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.057999999999999996,39443,15153,1320,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,17-07-2020 22:36:36,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0739,50200,19285,1680,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,17-07-2020 22:36:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0443,30120,11571,1008,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,17-07-2020 22:36:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0844,57371,22040,1920,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,17-07-2020 22:36:36,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,,1,10,Тбилиси,10 гр,0.0365,27251,10469,912,380.0,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
55,55,17-07-2020 22:36:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2348,159563,61299,5339,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,17-07-2020 22:36:36,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,,нет,5,Тбилиси,10 гр,0.0534,35940,13838,1204,,,440.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
57,57,17-07-2020 22:36:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,5,Тбилиси,11 гр,0.0473,31856,12266,1067,,,390.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,58,17-07-2020 22:36:36,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,,нет,1,Тбилиси,15 гр,0.0624,46614,17908,1560,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
