,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,07-06-2020 03:26:31,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.017,11695,4560,405,150,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,07-06-2020 03:26:31,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,1,7,Тбилиси,0.25 гр,0.0041,2745,1074,95,,True,True,40,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
2,07-06-2020 03:26:31,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0307,20521,8028,712,,,True,299,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,07-06-2020 03:26:31,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,,7,нет,Тбилиси,2 гр,0.0091,6108,2390,212,,,True,89,,,,,,,,,2 ECSTASY << PACO RABANNE >>
4,07-06-2020 03:26:31,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,3 гр,0.0122,8167,3195,283,,,True,119,,,,,,,,,3 ECSTASY << PACO RABANNE >>
5,07-06-2020 03:26:31,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,,2,нет,Тбилиси,4 гр,0.018,13383,5236,464,,,True,195,,,,,,,,,4g.marihuana shishki white widow
6,07-06-2020 03:26:31,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0054,3775,1477,131,,,True,55,,,,,,,,,Suboxene 4mg
7,07-06-2020 03:26:31,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,3,нет,Тбилиси,5 гр,0.0222,16472,6444,571,,,True,240,,,,,,,,,5g. marihuana shishki Critical
8,07-06-2020 03:26:31,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.018,12011,4699,417,,,True,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
9,07-06-2020 03:26:31,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1153,80299,31415,2786,,,True,1170,,,,,,,,,VHQ BEST Cocaine 5g.
10,07-06-2020 03:26:31,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0151,10226,4001,355,,,,149,True,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
11,07-06-2020 03:26:31,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0263,17776,6954,617,,,True,259,,,,,,,,,10 gr georgian weed. Package on magnet
12,07-06-2020 03:26:31,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0243,16403,6417,569,,,,239,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
13,07-06-2020 03:26:31,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,3,нет,Тбилиси,10 гр,0.0102,6863,2685,238,,,,100,,,True,,,,,,10 gr marihuana list'ja top gibrid
14,07-06-2020 03:26:31,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,,6,нет,Тбилиси,10 гр,0.0014,961,376,33,,,True,14,,,,,,,,,GABAGAMA 10 shtuk
15,07-06-2020 03:26:31,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0462,34316,13425,1191,,,True,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,07-06-2020 03:26:31,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2051,137264,53700,4762,,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,07-06-2020 03:26:31,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0216,14413,5639,500,,,True,210,,,,,,,,,✨✨2gram. MDMA✨✨
18,07-06-2020 03:26:31,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,2,Тбилиси,2 гр,0.0379,25325,9908,879,,,True,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
19,07-06-2020 03:26:31,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0594,39738,15546,1379,,,True,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,07-06-2020 03:26:31,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0406,27453,10740,952,,,True,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,07-06-2020 03:26:31,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0711,48042,18795,1667,,,True,700,,,,,,,,,"""Kief"" Weed trichomes 5G"
22,07-06-2020 03:26:31,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0559,37748,14768,1310,,,True,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
23,07-06-2020 03:26:31,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0239,16129,6310,560,,,True,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
24,07-06-2020 03:26:31,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0244,16472,6444,571,,,True,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
25,07-06-2020 03:26:31,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0234,15785,6176,548,,,True,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
26,07-06-2020 03:26:31,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0244,16472,6444,571,,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
27,07-06-2020 03:26:31,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0244,16472,6444,571,,,True,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
28,07-06-2020 03:26:31,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0234,15785,6176,548,,,True,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,07-06-2020 03:26:31,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0202,15030,5880,521,,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,07-06-2020 03:26:31,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0257,17158,6713,595,,,True,250,,,,,,,,,MARIXYANA - INDICA - 5 G.
31,07-06-2020 03:26:31,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0239,16129,6310,560,,,True,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
32,07-06-2020 03:26:31,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0254,17158,6713,595,,,,250,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
33,07-06-2020 03:26:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2558,190000,87429,6592,,,True,,,,,,,,,,reagent 25i nbome. 5gr
34,07-06-2020 03:27:03,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2556,190000,87429,6592,,,True,,,,,,,,,,reagent 25i nbome. 5gr
