,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,17-03-2020 03:53:31,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0158,6671,2511,213,90.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,17-03-2020 03:53:31,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0303,14084,5301,449,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,17-03-2020 03:53:31,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,10,10,Тбилиси,0.27 гр,0.0402,16827,6333,537,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,3,17-03-2020 03:53:31,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,4,нет,Тбилиси,0.5 гр,0.0193,8080,3041,258,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,4,17-03-2020 03:53:31,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr,,10,нет,Тбилиси,0.5 гр,0.0174,8080,3041,258,109.0,True,,,,,,,,,,COCAINE VHQ!!! 0.5gr
5,5,17-03-2020 03:53:31,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0167,7339,2762,234,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,17-03-2020 03:53:31,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),,22,нет,Тбилиси,0.5 гр,0.0142,6597,2483,210,89.0,True,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
7,7,17-03-2020 03:53:31,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0175,7339,2762,234,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,17-03-2020 03:53:31,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0183,8080,3041,258,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,17-03-2020 03:53:31,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0088,3706,1395,118,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,10,17-03-2020 03:53:31,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,4,нет,Тбилиси,1 гр,0.021,8895,3348,284,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
11,11,17-03-2020 03:53:31,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0149,6301,2372,201,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
12,12,17-03-2020 03:53:31,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,5,нет,Тбилиси,1 гр,0.013999999999999999,5930,2232,189,80.0,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
13,13,17-03-2020 03:53:31,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,5,нет,Тбилиси,1 гр,0.0081,3410,1283,109,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
14,14,17-03-2020 03:53:31,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0301,13269,4994,423,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
15,15,17-03-2020 03:53:31,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,2,нет,Тбилиси,1 гр,0.0193,8154,3069,260,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
16,16,17-03-2020 03:53:31,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0876,40769,15345,1300,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
