,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,16-06-2020 22:48:45,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,True,4,нет,Тбилиси,0.25 гр,0.0123,8616,3314,293,109.0,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,16-06-2020 22:48:45,Tbilisi,014c8a1720,Heroin “sirec” 0.25g 4 person,True,,9,нет,Тбилиси,0.25 гр,0.0117,8370,3228,286,,True,120.0,,,,,,,Heroin “sirec” 0.25g 4 person
2,2,16-06-2020 22:48:45,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,,1,нет,Тбилиси,0.25 гр,0.0102,6975,2690,239,,True,100.0,,,,,,,NEW Iranian Sirec 0.25g.
3,3,16-06-2020 22:48:45,Tbilisi,16a8841259,Ak - 47 0.5г,,,8,нет,Тбилиси,0.5 гр,0.0032,2162,834,74,,True,31.0,,,,,,,Ak - 47 0.5g
4,4,16-06-2020 22:48:45,Tbilisi,cb721d4bca,1 г марихуана шишки VHQ индика THC 20%,True,,10,нет,Тбилиси,1 гр,0.004,2720,1049,93,,,39.0,True,,,,,,1 g marihuana shishki VHQ indika THC 20%
5,5,16-06-2020 22:48:45,Tbilisi,ae784bef73,NEW ! White Shark ! BUDS ! 1G,True,,2,нет,Тбилиси,1 гр,0.0046,3139,1211,107,,,45.0,,,,,,,NEW ! White Shark ! BUDS ! 1G
6,6,16-06-2020 22:48:45,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr,,,5,нет,Тбилиси,1 гр,0.0056,3836,1480,131,,True,55.0,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr
7,7,16-06-2020 22:48:45,Tbilisi,16a8841259,AK47 1.5г,,,3,нет,Тбилиси,1.5 гр,0.0083,5720,2206,196,,True,82.0,,,,,,,AK47 1.5g
8,8,16-06-2020 22:48:45,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,,2,нет,Тбилиси,2 гр,0.0087,5929,2287,203,,,85.0,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
9,9,16-06-2020 22:48:45,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,,5,нет,Тбилиси,3 гр,0.0089,6068,2340,208,,True,87.0,,,,,,,3 gr georgian weed. Package on magnet
10,10,16-06-2020 22:48:45,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,,3,нет,Тбилиси,4 гр,0.0143,9765,3766,334,,,140.0,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
11,11,16-06-2020 22:48:45,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,,5,нет,Тбилиси,5 гр,0.0131,8998,3470,308,,True,129.0,,,,,,,5 gr georgian weed. Package on magnet
12,12,16-06-2020 22:48:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,,,3,нет,Тбилиси,5 гр,0.0222,16741,6456,573,,True,240.0,,,,,,,5g. marihuana shishki Critical
13,13,16-06-2020 22:48:45,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,,6,нет,Тбилиси,5 гр,0.0101,6905,2663,236,,True,99.0,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
