,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Тбилиси,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
22,02-06-2020 13:49:53,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,нет,1,Тбилиси,1.5 гр,0.0708,50464,19533,1738,,,True,,650,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
23,02-06-2020 13:49:53,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0212,14639,5649,504,210,,True,,,,,,,,✨✨2gram. MDMA✨✨
24,02-06-2020 13:49:53,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,6,Тбилиси,2 гр,0.0372,25724,9926,886,369,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
25,02-06-2020 13:49:53,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0584,40363,15575,1390,579,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,02-06-2020 13:49:53,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0399,27885,10760,960,400,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,02-06-2020 13:49:53,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,3,2,Тбилиси,4 гр,0.014,9760,3766,336,140,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
28,02-06-2020 13:49:53,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0699,48798,18830,1681,700,,True,,,,,,,,"""Kief"" Weed trichomes 5G"
29,02-06-2020 13:49:53,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0549,38341,14795,1320,550,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,02-06-2020 13:49:53,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0235,16382,6322,564,235,,True,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,02-06-2020 13:49:53,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.024,16731,6456,576,240,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
