,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,23-05-2020 10:08:10,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0169,11429,4301,381,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,23-05-2020 10:08:10,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,5,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
2,23-05-2020 10:08:10,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,5,нет,Тбилиси,0.5 гр,0.003,2085,784,70,29,,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,23-05-2020 10:08:10,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,4,нет,Тбилиси,0.5 гр,0.0138,9344,3517,312,130,True,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,23-05-2020 10:08:10,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.005,3738,1407,125,52,,,,,,,,,,,Lsd 25 buds 1 GR
5,23-05-2020 10:08:10,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0859,64692,24345,2159,900,,,,,,,,,,,Metadon 1gr
6,23-05-2020 10:08:10,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,6,нет,Тбилиси,1 гр,0.0253,17179,6465,573,239,True,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,23-05-2020 10:08:10,Tbilisi,UTYG,Greanheave,LSD 25 buds 2 GR,True,4,нет,Тбилиси,2 гр,0.0091,6829,2570,228,95,,,,,,,,,,,LSD 25 buds 2 GR
8,23-05-2020 10:08:10,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,3,нет,Тбилиси,2 гр,0.0093,6397,2407,213,89,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
9,23-05-2020 10:08:10,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,2,нет,Тбилиси,3 гр,0.0132,8985,3381,300,125,,,,True,,,,,,,3g superskunk top class buds.
10,23-05-2020 10:08:10,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,2,нет,Тбилиси,5 гр,0.1207,82662,31108,2758,1150,,,,,,,,,,,Cocaine Pure VHQ 5g.
11,23-05-2020 10:08:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.117,82662,31108,2758,1150,,,,,,,,,,,VHQ BEST Cocaine 5g.
12,23-05-2020 10:08:10,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,True,2,нет,Тбилиси,10 гр,0.0167,12579,4734,420,175,,,,,,,,,,,10 - GRAMM BEASTWEED
13,23-05-2020 10:08:10,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0458,32346,12173,1079,450,,,,,,,,,,,Gashish Evro 10gr
14,23-05-2020 10:08:10,Tbilisi,PTO3,MeDuZa777,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,3,нет,Тбилиси,15 гр,0.0157,10782,4058,360,150,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
