,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
24,04-08-2020 07:37:52,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0034,2966,1118,98,40,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
25,04-08-2020 07:37:52,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,True,1,нет,Тбилиси,1 гр,0.0049,4079,1537,135,55,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
26,04-08-2020 07:37:52,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0106,8899,3354,294,120,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
27,04-08-2020 07:37:52,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0106,8899,3354,294,120,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
28,04-08-2020 07:37:52,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0078,6526,2460,215,88,,,,,,,,,,,2gr HYBRID buds
29,04-08-2020 07:37:52,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0088,8157,3075,269,110,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
30,04-08-2020 07:37:52,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 2шт,True,2,нет,Тбилиси,2 гр,0.0088,7416,2795,245,100,,,,,,,,,,,Maserati (ecstasy) 2sht
31,04-08-2020 07:37:52,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,5,нет,Тбилиси,2.2 гр,0.0221,18540,6988,612,250,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
32,04-08-2020 07:37:52,Tbilisi,JVZTQ,partyshop,3 ecstasy red maseratti VHQ екстази импорт с США,True,2,нет,Тбилиси,3 гр,0.0133,11124,4193,367,150,,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
33,04-08-2020 07:37:52,Tbilisi,LD5U,Marshydroo,3 gram + skunk auto шишки,,1,нет,Тбилиси,3 гр,0.0115,10011,3773,330,135,,,True,,,,,,,,3 gram + skunk auto shishki
34,04-08-2020 07:37:52,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0072,6674,2516,220,90,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
35,04-08-2020 07:37:52,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,True,8,нет,Тбилиси,5 гр,0.0221,18540,6988,612,250,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
36,04-08-2020 07:38:46,Tbilisi,LD5U,Marshydroo,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0398,34855,13137,1150,470,,,,,,,,,,,LSD-25 shishki 10gram
37,04-08-2020 07:38:46,Tbilisi,43MUT,Canartvelo,Мощные Кексы / Marijuana cupcakes (75g),True,2,нет,Тбилиси,75 гр,0.0022,1854,699,61,25,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
38,04-08-2020 07:38:46,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4.4 гр,0.0424,35596,13416,1175,480,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,04-08-2020 07:38:46,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0221,18540,6988,612,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
