,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Varketili,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,01-05-2020 01:00:51,Tbilisi,f8a875c191,METADON - 0.25 G.,True,1,нет,Тбилиси,0.25 гр,0.0274,18182,6788,609,250.0,,,,,,,,,,,,,METADON - 0.25 G.
1,1,01-05-2020 01:00:51,Tbilisi,8ddca45a78,"0,5g NORTHERN LIGHTS (Indica)",True,2,нет,Тбилиси,0.5 гр,0.003,2036,760,68,28.0,,,,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
2,2,01-05-2020 01:00:51,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0026,1745,652,58,24.0,True,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,01-05-2020 01:00:51,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0029,2109,787,71,29.0,,,True,True,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,4,01-05-2020 01:00:51,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,18,нет,Тбилиси,0.5 гр,0.0031,2109,787,71,29.0,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,01-05-2020 01:00:51,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,1 гр,0.006,4000,1493,134,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,01-05-2020 01:00:51,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1303,117,48.0,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
7,7,01-05-2020 01:00:51,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1303,117,48.0,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
8,8,01-05-2020 01:00:51,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.004,2982,1113,100,41.0,,,,,,,,,,,,,Hybrid Ana-sha 1G.
9,9,01-05-2020 01:00:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0887,65454,24435,2192,900.0,,,,,,,,,,,,,Metadon 1gr
10,10,01-05-2020 01:00:51,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0108,7273,2715,244,100.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
11,11,01-05-2020 01:00:51,Tbilisi,2f51af8159,Weed Hybrid Somango 2 G,,1,нет,Тбилиси,2 гр,0.0076,5091,1901,171,70.0,True,,,,,,,,,,,,Weed Hybrid Somango 2 G
12,12,01-05-2020 01:00:51,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0092,6182,2308,207,85.0,True,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
13,13,01-05-2020 01:00:51,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.0141,9454,3530,317,130.0,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
14,14,01-05-2020 01:00:51,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0115,7636,2851,256,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,15,01-05-2020 01:00:51,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,7,нет,Тбилиси,3 гр,0.0108,7273,2715,244,100.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
16,16,01-05-2020 01:00:51,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0333,23272,8688,780,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
17,17,01-05-2020 01:00:51,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0322,21818,8145,731,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
18,18,01-05-2020 01:00:51,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0192,12727,4751,426,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
19,19,01-05-2020 01:00:51,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,15,нет,Тбилиси,10 гр,0.0227,15200,5674,509,209.0,True,,,,True,,,,,,,,10 gr marijuana buds. -indica-
20,20,01-05-2020 01:00:51,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0325,21818,8145,731,300.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
21,21,01-05-2020 01:00:51,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0416,29091,10860,974,400.0,,,,,,,,,,,,,gashish evro 10g
22,22,01-05-2020 01:00:51,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,4,нет,Тбилиси,20 гр,0.0439,29454,10996,987,405.0,True,,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
23,23,01-05-2020 01:00:51,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0808,56508,21096,1893,777.0,,,,,,,,,,,,,Gashish Evro 20gr
24,24,01-05-2020 01:00:51,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1971,145453,54300,4872,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,25,01-05-2020 01:00:51,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,19,Тбилиси,0.2 гр,0.0042,2836,1059,95,39.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
26,26,01-05-2020 01:00:51,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0146,9818,3665,329,135.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
27,27,01-05-2020 01:00:51,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0357,26109,9735,875,,,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
