,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,26-02-2020 00:55:30,Tbilisi,I8ED,KKGRUZ,0.33gr NEW - ALFA - PVP - 99% чистота - сухие - большие кристалы,True,4,нет,Тбилиси,0.33 гр,0.0074,4545,1720,156,70,,,,,,,,,0.33gr NEW - ALFA - PVP - 99% chistota - suhie - bol'shie kristaly
1,26-02-2020 00:55:30,Tbilisi,OX85,amnesia420,"0,5g PURPLE HAZE Sativa THC 19% / BTC -10% sale",True,1,нет,Тбилиси,0.5 гр,0.0024,1623,614,56,25,,,,,,,,,"0,5g PURPLE HAZE Sativa THC 19% / BTC -10% sale"
2,26-02-2020 00:55:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0094,6427,2432,220,99,,,,,,,,,Cocaine Pure VHQ 0.5g
3,26-02-2020 00:55:30,Tbilisi,UJP9,420Inc,THC Snow Buds Only 0.5 G (THC 23+%),True,7,нет,Тбилиси,0.5 гр,0.0031,1948,737,67,30,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
4,26-02-2020 00:55:30,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,6,нет,Тбилиси,0.5 гр,0.0104,6427,2432,220,99,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,26-02-2020 00:55:30,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.0156,9738,3686,334,150,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
6,26-02-2020 00:55:30,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0125,7791,2948,267,120,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,26-02-2020 00:55:30,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,1,нет,Тбилиси,1 гр,0.0094,5843,2211,200,90,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
8,26-02-2020 00:55:30,Tbilisi,BB6E,WEEDSH0P,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,3,нет,Тбилиси,1 гр,0.0037,2272,860,78,35,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
9,26-02-2020 00:55:30,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,3,нет,Тбилиси,1 гр,0.0104,6492,2457,222,100,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
10,26-02-2020 00:55:30,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,5,нет,Тбилиси,1 гр,0.0089,5518,2088,189,85,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
11,26-02-2020 00:55:30,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,8,нет,Тбилиси,1 гр,0.0038,2402,909,82,37,True,,,,,,,,1G -- AK-47 -> Sativa
12,26-02-2020 00:55:30,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.0096,5989,2267,205,,,85,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
13,26-02-2020 00:55:30,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,8,нет,Тбилиси,1 гр,0.0089,5518,2088,189,85,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
14,26-02-2020 00:55:30,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,1 гр,0.0098,6341,2400,217,,,90,,,,,,,1gr mdma (skidka v bitkoin 5%)
15,26-02-2020 00:55:30,Tbilisi,X4ZM,ZYX,Afghan HQ buds ! NEW ! 1G,True,6,нет,Тбилиси,1 гр,0.0049,3051,1155,105,47,,,,,,,,,Afghan HQ buds ! NEW ! 1G
16,26-02-2020 00:55:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.018,12335,4668,423,190,,,,,,,,,Cocaine Pure VHQ 1g
17,26-02-2020 00:55:30,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0232,14283,5405,489,220,,,,,,,,,"Cocaine, 1g"
18,26-02-2020 00:55:30,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0042,2597,983,89,40,,,,,,,,,"LSD - 250 ug, 1piece"
19,26-02-2020 00:55:30,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0199,12919,4889,443,199,,,,,,,,,VHQ BEST Cocaine 1g.
