,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vazisubani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,0,29-07-2020 16:21:03,Tbilisi,e771f4c371,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT SPECIAL PRICE,True,3,нет,Тбилиси,0.5 гр,0.0022,1806,696,60,25.0,,,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT SPECIAL PRICE
1,1,29-07-2020 16:21:03,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,9,нет,Тбилиси,0.5 гр,0.003,2384,919,80,33.0,True,,,,,,,,,,,0.5 gr HYBRID buds
2,2,29-07-2020 16:21:03,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,23,нет,Тбилиси,0.5 гр,0.0027,2167,836,72,30.0,True,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
3,3,29-07-2020 16:21:03,Tbilisi,fccfd69694,Бошки OG Kush 05g.,,1,нет,Тбилиси,0.5 гр,0.0023,1806,696,60,25.0,True,,,,,,,,,,,Boshki OG Kush 05g.
4,4,29-07-2020 16:21:03,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0054,4334,1671,145,60.0,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
5,5,29-07-2020 16:21:03,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,1 гр,0.0053,4262,1643,142,59.0,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,29-07-2020 16:21:03,Tbilisi,4659482266,1 г.Super Skunk top class buds!,,2,нет,Тбилиси,1 гр,0.005,3973,1532,133,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds!
7,7,29-07-2020 16:21:03,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),True,4,нет,Тбилиси,1 гр,0.0048,3828,1476,128,53.0,,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
8,8,29-07-2020 16:21:03,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,13,нет,Тбилиси,1 гр,0.0044,3540,1365,118,49.0,True,,,,,,,,,,,1gr HYBRID o.g
9,9,29-07-2020 16:21:03,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,7,нет,Тбилиси,1 гр,0.0044,3540,1365,118,49.0,,,True,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
10,10,29-07-2020 16:21:03,Tbilisi,ebadfc162f,BlueBerry Is Back 1G шишки последние !! LAST ONES !!!,,1,нет,Тбилиси,1 гр,0.0062,4984,1922,166,69.0,True,,,,,,,,,,,BlueBerry Is Back 1G shishki poslednie !! LAST ONES !!!
11,11,29-07-2020 16:21:03,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",,2,нет,Тбилиси,1 гр,0.0045,3973,1532,133,55.0,True,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
12,12,29-07-2020 16:21:03,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.0035,3106,1198,104,43.0,True,,,,,,,,,,,Hybrid Ana-sha 1G.
