,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,03-06-2020 12:35:45,Tbilisi,8ddca45a78,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,5,нет,Тбилиси,0.5 гр,0.0031,2070,807,72,30.0,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,1,03-06-2020 12:35:45,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0857,62085,24210,2158,900.0,,,,,,,,,,Metadon 1gr
2,2,03-06-2020 12:35:45,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0253,16487,6429,573,239.0,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
3,3,03-06-2020 12:35:45,Tbilisi,be97026d1d,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.0674,45299,17789,1577,,True,590.0,,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
4,4,03-06-2020 12:35:45,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0126,8209,3201,285,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
5,5,03-06-2020 12:35:45,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0111,7243,2825,252,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
6,6,03-06-2020 12:35:45,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0186,13452,5246,468,195.0,,,,,,,,,,4g.marihuana shishki white widow
7,7,03-06-2020 12:35:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0112,7381,2878,257,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
8,8,03-06-2020 12:35:45,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0311,20695,8070,719,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
9,9,03-06-2020 12:35:45,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,5 гр,0.0146,9589,3739,333,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
10,10,03-06-2020 12:35:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0229,16556,6456,576,240.0,,,,,,,,,,5g. marihuana shishki Critical
11,11,03-06-2020 12:35:45,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,10,нет,Тбилиси,5 гр,0.0062,4070,1587,141,59.0,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
12,12,03-06-2020 12:35:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0185,12072,4708,420,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
13,13,03-06-2020 12:35:45,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0282,18556,7236,645,269.0,,,,,,,,,,10 gr georgian weed. Package on magnet
14,14,03-06-2020 12:35:45,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,9,нет,Тбилиси,10 гр,0.0105,6898,2690,240,100.0,,,True,,,,,,,10 gr marihuana list'ja top gibrid
15,15,03-06-2020 12:35:45,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0476,34492,13450,1199,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,03-06-2020 12:35:45,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0034,2483,968,86,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
17,17,03-06-2020 12:35:45,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5519,2152,192,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
18,18,03-06-2020 12:35:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1905,137966,53800,4796,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,03-06-2020 12:35:45,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,9,Тбилиси,0.25 гр,0.0042,2759,1076,96,40.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
20,20,03-06-2020 12:35:45,Tbilisi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0077,5174,2018,180,75.0,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
21,21,03-06-2020 12:35:45,Tbilisi,54915c4374,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0157,10347,4035,360,150.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
22,22,03-06-2020 12:35:45,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.5G A+++,True,нет,4,Тбилиси,0.5 гр,0.0068,4484,1749,156,65.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
23,23,03-06-2020 12:35:45,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 1G A+++,True,нет,4,Тбилиси,1 гр,0.012,7933,3094,276,115.0,,,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
24,24,03-06-2020 12:35:45,Tbilisi,54915c4374,Геройн (сирец) 1 гр,True,нет,19,Тбилиси,1 гр,0.0377,24834,9684,863,360.0,,,,,,,,,,Gerojn (sirets) 1 gr
25,25,03-06-2020 12:35:45,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0222,14486,5649,504,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
26,26,03-06-2020 12:35:45,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.039,25455,9926,885,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,27,03-06-2020 12:35:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0613,39941,15575,1389,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
