,time_stamp,region,sell_code,sell_name,description,Saburtalo,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,03-06-2020 21:32:38,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,True,нет,7,Тбилиси,4 гр,0.0411,27337,10760,959,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,03-06-2020 21:32:38,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,,2,2,Тбилиси,4 гр,0.0144,9568,3766,336,140,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
26,03-06-2020 21:32:38,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,True,нет,1,Тбилиси,5 гр,0.072,47839,18830,1679,700,,,,,,,,,"""Kief"" Weed trichomes 5G"
27,03-06-2020 21:32:38,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,True,нет,5,Тбилиси,5 гр,0.0566,37588,14795,1319,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,03-06-2020 21:32:38,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,True,нет,9,Тбилиси,5 гр,0.0242,16060,6322,564,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
29,03-06-2020 21:32:38,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,True,нет,6,Тбилиси,5 гр,0.0247,16402,6456,576,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
30,03-06-2020 21:32:38,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,True,нет,8,Тбилиси,5 гр,0.0237,15719,6187,552,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,03-06-2020 21:32:38,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,True,нет,4,Тбилиси,5 гр,0.0247,16402,6456,576,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,03-06-2020 21:32:38,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,True,нет,8,Тбилиси,5 гр,0.0247,16402,6456,576,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,03-06-2020 21:32:38,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,True,нет,6,Тбилиси,5 гр,0.0237,15719,6187,552,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
