,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Авлобари,Дигоми,Gldani,Varketili,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
0,0,05-05-2020 23:56:30,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,1,нет,Тбилиси,0.3 гр,0.0103,3221,228,7000,,,,,,,,,,,,,,0.3 a-pvp white
1,1,05-05-2020 23:56:30,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,1,нет,Тбилиси,0.5 гр,0.0133,4141,293,9000,,,,,,,,,,,,,,0.5 a-pvp white
2,2,05-05-2020 23:56:30,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,0.5 гр,0.0038,950,86,2545,True,35.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,05-05-2020 23:56:30,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0059,1493,135,4000,,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
4,4,05-05-2020 23:56:30,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0141,3530,319,9454,,130.0,True,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,05-05-2020 23:56:30,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0237,7362,520,16000,,,,,,,,,,,,,,1 a-pvp white
6,6,05-05-2020 23:56:30,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0059,1493,135,4000,,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,7,05-05-2020 23:56:30,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,6,нет,Тбилиси,1 гр,0.0059,1493,135,4000,True,55.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,8,05-05-2020 23:56:30,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,6,нет,Тбилиси,1 гр,0.005,1385,125,3709,,51.0,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,9,05-05-2020 23:56:30,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0061,1548,140,4145,True,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,05-05-2020 23:56:30,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,2,нет,Тбилиси,1 гр,0.0059,1493,135,4000,True,55.0,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
11,11,05-05-2020 23:56:30,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,18,нет,Тбилиси,1 гр,0.0325,8118,734,21745,,299.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
12,12,05-05-2020 23:56:30,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0052,1303,118,3491,,48.0,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
13,13,05-05-2020 23:56:30,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,3,нет,Тбилиси,1 гр,0.0052,1303,118,3491,,48.0,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
14,14,05-05-2020 23:56:30,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0052,1303,118,3491,,48.0,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
15,15,05-05-2020 23:56:30,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,2,нет,Тбилиси,1 гр,0.0059,1493,135,4000,,55.0,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
16,16,05-05-2020 23:56:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0253,6380,577,17091,,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
17,17,05-05-2020 23:56:30,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,2,нет,Тбилиси,1 гр,0.0059,1493,135,4000,,55.0,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
18,18,05-05-2020 23:56:30,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0255,6516,589,17454,,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
19,19,05-05-2020 23:56:30,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,12,нет,Тбилиси,1 гр,0.0044,1113,101,2982,,41.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
20,20,05-05-2020 23:56:30,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.08800000000000001,24435,2209,65454,,900.0,,,,,,,,,,,,Metadon 1gr
21,21,05-05-2020 23:56:30,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.026000000000000002,6489,587,17382,,239.0,True,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
22,22,05-05-2020 23:56:30,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,6,нет,Тбилиси,1.5 гр,0.0068,1901,172,5091,,70.0,True,True,True,True,True,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
23,23,05-05-2020 23:56:30,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0097,2416,218,6473,,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
24,24,05-05-2020 23:56:30,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0108,2715,245,7273,,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
25,25,05-05-2020 23:56:30,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0097,2416,218,6473,,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
26,26,05-05-2020 23:56:30,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,3,нет,Тбилиси,2 гр,0.0106,2688,243,7200,,99.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
27,27,05-05-2020 23:56:30,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0076,1901,172,5091,,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
28,28,05-05-2020 23:56:30,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,15,нет,Тбилиси,2 гр,0.0096,2416,218,6473,,89.0,,,True,True,,True,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
29,29,05-05-2020 23:56:30,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0129,3231,292,8654,,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
30,30,05-05-2020 23:56:30,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,8,нет,Тбилиси,3 гр,0.013999999999999999,3530,319,9454,,130.0,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
31,31,05-05-2020 23:56:30,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0129,3231,292,8654,,119.0,,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
32,32,05-05-2020 23:56:30,Tbilisi,4659482266,3g superskunk top class buds.,,1,нет,Тбилиси,3 гр,0.0129,3231,292,8654,,119.0,,,,True,,,,,,,,3g superskunk top class buds.
