,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Didube,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-05-2020 23:07:50,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,26,нет,Тбилиси,0.3 гр,0.0103,3221,232,7000,,,,,,,,,,,0.3 a-pvp white
1,1,12-05-2020 23:07:50,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0039,1080,97,2937,40.0,,,,,,,,,,suboxsone 0.4 g
2,2,12-05-2020 23:07:50,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,810,73,2203,30.0,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
3,3,12-05-2020 23:07:50,Tbilisi,8ddca45a78,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,3,нет,Тбилиси,0.5 гр,0.003,756,68,2056,28.0,,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
4,4,12-05-2020 23:07:50,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0173,4293,387,11676,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
5,5,12-05-2020 23:07:50,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0142,3510,317,9546,130.0,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,6,12-05-2020 23:07:50,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0326,8073,728,21956,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,7,12-05-2020 23:07:50,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,1,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50.0,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,8,12-05-2020 23:07:50,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),True,2,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50.0,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
9,9,12-05-2020 23:07:50,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50.0,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
10,10,12-05-2020 23:07:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0254,6345,572,17257,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
11,11,12-05-2020 23:07:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0257,6480,584,17624,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
12,12,12-05-2020 23:07:50,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0884,24300,2192,66089,900.0,,,,,,,,,,Metadon 1gr
