,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
21,05-08-2020 15:45:15,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0051,4329,1646,144,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
22,05-08-2020 15:45:15,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0048,4036,1535,134,55,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
23,05-08-2020 15:45:15,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush 100% Natural (Indika),,1,нет,Тбилиси,1 гр,0.0046,3889,1479,129,53,True,,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
24,05-08-2020 15:45:15,Tbilisi,7R3WM,RastaShop,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,2,нет,Тбилиси,1 гр,0.0046,3889,1479,129,53,True,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
25,05-08-2020 15:45:15,Tbilisi,7R3WM,RastaShop,1.0 gr. Magic Kush IMPORT (INDICA),,3,нет,Тбилиси,1 гр,0.0046,3889,1479,129,53,True,,,,,,,,,,,1.0 gr. Magic Kush IMPORT (INDICA)
26,05-08-2020 15:45:15,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0052,4403,1674,146,60,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
27,05-08-2020 15:45:15,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,19,нет,Тбилиси,1 гр,0.0043,3596,1367,120,49,,,,,,,,,,,,1gr HYBRID o.g
28,05-08-2020 15:45:15,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.005,4183,1590,139,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
29,05-08-2020 15:45:15,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,1 гр,0.0043,3596,1367,120,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
30,05-08-2020 15:45:15,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,15,нет,Тбилиси,1 гр,0.0035,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
