,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,06-08-2020 15:28:50,Tbilisi,7R3WM,RastaShop,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,1 гр,0.0044,3871,1477,129,53,True,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
24,06-08-2020 15:28:50,Tbilisi,7R3WM,RastaShop,1.0 gr. Magic Kush IMPORT (INDICA),,4,нет,Тбилиси,1 гр,0.0044,3871,1477,129,53,True,,,,,,,,,,,1.0 gr. Magic Kush IMPORT (INDICA)
25,06-08-2020 15:28:50,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.005,4382,1672,146,60,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
26,06-08-2020 15:28:50,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,26,нет,Тбилиси,1 гр,0.0041,3579,1365,119,49,,,,,,,,,,,,1gr HYBRID o.g
27,06-08-2020 15:28:50,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,7,нет,Тбилиси,1 гр,0.0048,4163,1588,139,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
28,06-08-2020 15:28:50,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0041,3579,1365,119,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
29,06-08-2020 15:28:50,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,15,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
30,06-08-2020 15:28:50,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 1 гр",True,4,нет,Тбилиси,1 гр,0.0042,4017,1532,134,55,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
31,06-08-2020 15:28:50,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,2,нет,Тбилиси,1 гр,0.0031,2995,1142,100,41,,,,,,,,,,,,Hybrid Ana-sha 1G.
32,06-08-2020 15:28:50,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0049,4236,1616,141,58,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
33,06-08-2020 15:28:50,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,5,нет,Тбилиси,1 гр,0.0053,4602,1755,154,63,,,,True,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
34,06-08-2020 15:28:50,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
