,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,29-03-2020 09:02:36,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,5,нет,Тбилиси,0.25 гр,0.0275,14769,5415,489,190.0,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,29-03-2020 09:02:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0139,7696,2822,255,99.0,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,29-03-2020 09:02:36,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,10,нет,Тбилиси,0.5 гр,0.0095,5053,1853,167,65.0,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
3,3,29-03-2020 09:02:36,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,1,нет,Тбилиси,0.5 гр,0.054000000000000006,28761,10545,953,370.0,True,,,,,,,,,,,Metadon VHQ 0.5 24/7
4,4,29-03-2020 09:02:36,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0168,9328,3420,309,120.0,True,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,29-03-2020 09:02:36,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,6,нет,Тбилиси,1 гр,0.0063,3343,1226,111,43.0,True,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
6,6,29-03-2020 09:02:36,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,12,нет,Тбилиси,1 гр,0.008,4664,1710,155,60.0,True,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,29-03-2020 09:02:36,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0073,3887,1425,129,50.0,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,29-03-2020 09:02:36,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0057,3032,1112,100,39.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,29-03-2020 09:02:36,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,4,нет,Тбилиси,1 гр,0.0063,3343,1226,111,43.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! Indica
10,10,29-03-2020 09:02:36,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,13,нет,Тбилиси,1 гр,0.0055,2954,1083,98,38.0,True,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
11,11,29-03-2020 09:02:36,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g скидка с бтк 5%,,4,нет,Тбилиси,1 гр,0.0106,5908,2166,196,76.0,True,,,,,,,,,,,Hashish Ice-o-lator 1g skidka s btk 5%
12,12,29-03-2020 09:02:36,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,4,нет,Тбилиси,1 гр,0.0803,42753,15675,1416,550.0,True,,,,,,,,,,,Metadon VHQ 1 24/7
13,13,29-03-2020 09:02:36,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,5,нет,Тбилиси,1 гр,0.0063,3343,1226,111,43.0,True,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
14,14,29-03-2020 09:02:36,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,10,нет,Тбилиси,1 гр,0.0219,11660,4275,386,150.0,,,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
15,15,29-03-2020 09:02:36,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,3,нет,Тбилиси,1 гр,0.0273,14691,5387,487,189.0,True,,,,,,,,,,,Kokain HQ 1g.
16,16,29-03-2020 09:02:36,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0261,13914,5102,461,179.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
17,17,29-03-2020 09:02:36,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1195,69959,25650,2318,900.0,True,,,,,,,,,,,Metadon 1gr
18,18,29-03-2020 09:02:36,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,2,нет,Тбилиси,1 гр,0.0103,5441,1995,180,70.0,True,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
19,19,29-03-2020 09:02:36,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,3,нет,Тбилиси,2 гр,0.0117,6219,2280,206,80.0,True,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
20,20,29-03-2020 09:02:36,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.011000000000000001,5830,2138,193,75.0,True,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
21,21,29-03-2020 09:02:36,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,2 гр,0.0101,5364,1967,178,69.0,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
22,22,29-03-2020 09:02:36,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,11,нет,Тбилиси,2 гр,0.0101,5364,1967,178,69.0,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
23,23,29-03-2020 09:02:36,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,10,нет,Тбилиси,2 гр,0.0101,5364,1967,178,69.0,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
24,24,29-03-2020 09:02:36,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0116,6141,2252,203,79.0,,True,,,,,,,,,,2g super Skunk top class buds. Indica
25,25,29-03-2020 09:02:36,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0103,5441,1995,180,70.0,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
26,26,29-03-2020 09:02:36,Tbilisi,bb1791277e,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,8,нет,Тбилиси,2 гр,0.0048,2565,941,85,33.0,True,,,,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
27,27,29-03-2020 09:02:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0478,27984,10260,927,360.0,True,,,,,,,,,,,Cocaine Pure VHQ 2 g
28,28,29-03-2020 09:02:36,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,2,нет,Тбилиси,2 гр,0.011000000000000001,5830,2138,193,75.0,True,,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
29,29,29-03-2020 09:02:36,Tbilisi,4659482266,Marijuana Blackberry 2g. Indica,,1,нет,Тбилиси,2 гр,0.0116,6141,2252,203,79.0,,True,,,,,,,,,,Marijuana Blackberry 2g. Indica
30,30,29-03-2020 09:02:36,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,4,нет,Тбилиси,2 гр,0.0544,31870,11685,1056,410.0,True,,,,,,,,,,,VHQ BEST Cocaine 2g.
31,31,29-03-2020 09:02:36,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,2,нет,Тбилиси,2 гр,0.0531,29461,10802,976,379.0,True,,,,,,,,,,,Kokain HQ 2g.
32,32,29-03-2020 09:02:36,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,2 гр,0.0046,2721,998,90,35.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
33,33,29-03-2020 09:02:36,Tbilisi,4be7861731,metadon hydrochloride 4г,True,3,нет,Тбилиси,4 гр,0.008,4275,1568,142,55.0,,,,,,,,,,,,metadon hydrochloride 4g
34,34,29-03-2020 09:02:56,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,1,нет,Тбилиси,5 гр,0.0229,12049,4418,399,155.0,True,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
35,35,29-03-2020 09:02:56,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0425,24874,9120,824,320.0,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
36,36,29-03-2020 09:02:56,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0434,23320,8550,773,300.0,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,37,29-03-2020 09:02:56,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,5 гр,0.0241,12826,4703,425,165.0,True,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
38,38,29-03-2020 09:02:56,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0355,19720,7303,653,,True,,,230.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
39,39,29-03-2020 09:02:56,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,2,нет,Тбилиси,5 гр,0.055999999999999994,31093,11400,1030,400.0,True,,,,,,,,,,,5g MDMA (IMPORTED)
40,40,29-03-2020 09:02:56,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,1,нет,Тбилиси,5 гр,0.0247,13137,4817,435,169.0,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
41,41,29-03-2020 09:02:56,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0258,13603,4988,451,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
42,42,29-03-2020 09:02:56,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1061,62108,22772,2058,799.0,True,,,,,,,,,,,Cocaine Pure VHQ 5g.
43,43,29-03-2020 09:02:56,Tbilisi,0dec0e1c48,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.0291,15469,5672,513,199.0,,,,,,,,,,,,10 gr georgian weed. Wholesale
44,44,29-03-2020 09:02:56,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0349,18578,6812,616,239.0,,,,,,,,,,,,10 gr marijuana buds. -indica-
45,45,29-03-2020 09:02:56,Tbilisi,64284550d9,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0307,16324,5985,541,210.0,True,,,,,,,,,,,10G ---> ONLY BUDS
