,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,19-04-2020 04:11:40,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0047,2588,959,86,35,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,19-04-2020 04:11:40,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0183,9982,3699,330,135,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,19-04-2020 04:11:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0181,9982,3699,330,135,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,19-04-2020 04:11:40,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0067,4067,1507,134,55,,,,,,,,,,,1 G Hybrid Marijuana Buds
4,19-04-2020 04:11:40,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,5,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
5,19-04-2020 04:11:40,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,10,нет,Тбилиси,1 гр,0.0076,4215,1562,139,57,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,19-04-2020 04:11:40,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,10,нет,Тбилиси,1 гр,0.0076,4215,1562,139,57,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
7,19-04-2020 04:11:40,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,8,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
8,19-04-2020 04:11:40,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0319,17747,6576,587,240,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,19-04-2020 04:11:40,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0266,14789,5480,489,200,,,,,,,,,,,Kokain HQ 1g.
10,19-04-2020 04:11:40,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1097,66550,24660,2201,900,,,,,,,,,,,Metadon 1gr
11,19-04-2020 04:11:40,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,1,нет,Тбилиси,1 гр,0.0024,1479,548,49,20,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
12,19-04-2020 04:11:40,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.0122,7394,2740,245,100,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,19-04-2020 04:11:40,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0114,6285,2329,208,85,True,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
14,19-04-2020 04:11:40,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0107,5842,2165,193,79,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
15,19-04-2020 04:11:40,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0095,5176,1918,171,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
16,19-04-2020 04:11:40,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0095,5176,1918,171,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
17,19-04-2020 04:11:40,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0114,6285,2329,208,85,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
18,19-04-2020 04:11:40,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,4,нет,Тбилиси,3 гр,0.0161,8799,3261,291,119,,,True,True,,,,,,,3g superskunk top class buds. Indica
19,19-04-2020 04:11:40,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA Варкетили,True,1,нет,Тбилиси,3 гр,0.0142,7764,2877,257,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA Varketili
20,19-04-2020 04:11:40,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0142,7764,2877,257,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
21,19-04-2020 04:11:40,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
22,19-04-2020 04:11:41,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.027,14715,5453,487,199,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
23,19-04-2020 04:11:41,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0412,23662,8768,782,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,19-04-2020 04:11:41,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0398,22183,8220,734,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,19-04-2020 04:11:41,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0227,12497,4631,413,169,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
26,19-04-2020 04:11:41,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,5,нет,Тбилиси,5 гр,0.018,9909,3672,328,134,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
27,19-04-2020 04:11:41,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,4,нет,Тбилиси,5 гр,0.0237,12940,4795,428,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
28,19-04-2020 04:11:41,Tbilisi,U26MW,Skyhigh,SPECIAL FOR FUSHE HEROINE 6g,,1,нет,Тбилиси,6 гр,0.4172,230000,105835,7601,,,,,,True,,,,,,SPECIAL FOR FUSHE HEROINE 6g
29,19-04-2020 04:11:41,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.028,15454,5727,511,209,,,,,,,,,,,10 gr marijuana buds. -indica-
30,19-04-2020 04:11:41,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0515,29578,10960,978,400,,,,,,,,,,,gashish evro 10g
31,19-04-2020 04:11:41,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1,57455,21290,1900,777,,,,,,,,,,,Gashish Evro 20gr
32,19-04-2020 04:11:41,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2439,147888,54800,4890,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,19-04-2020 04:11:41,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,2,Тбилиси,0.25 гр,0.0047,2588,959,86,35,,,,,,True,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
34,19-04-2020 04:11:41,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0056,3106,1151,103,42,,,,,,True,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
35,19-04-2020 04:12:19,Tbilisi,U26MW,Skyhigh,25i-nbome 1 piece 2.5mg SALE SALE,,нет,6,Тбилиси,1 гр,0.0019,1035,384,34,14,,,,,,True,,,,,25i-nbome 1 piece 2.5mg SALE SALE
36,19-04-2020 04:12:19,Tbilisi,U26MW,Skyhigh,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0052,2884,1069,95,39,,,,,,True,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
37,19-04-2020 04:12:19,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0501,27285,10111,902,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
38,19-04-2020 04:12:19,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0801,43627,16166,1443,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
39,19-04-2020 04:12:19,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0537,29578,10960,978,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,19-04-2020 04:12:19,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0215,11831,4384,391,160,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
41,19-04-2020 04:12:19,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0739,40669,15070,1345,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,19-04-2020 04:12:19,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0228,12571,4658,416,170,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,19-04-2020 04:12:19,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0267,14715,5453,487,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
