,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,20-03-2020 22:02:23,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,6,нет,Тбилиси,0.25 гр,0.0265,14828,5339,483,190,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,20-03-2020 22:02:23,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,6,5,Тбилиси,0.27 гр,0.0324,17716,6379,577,227,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
2,20-03-2020 22:02:23,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",,2,нет,Тбилиси,0.33 гр,0.0069,4208,1518,138,,True,50,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
3,20-03-2020 22:02:23,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,3,нет,Тбилиси,0.5 гр,0.0102,5853,2108,191,75,,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
4,20-03-2020 22:02:23,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,1 гр,0.0051,3122,1124,102,40,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,20-03-2020 22:02:23,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0071,3902,1405,127,50,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,20-03-2020 22:02:23,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,1,нет,Тбилиси,1 гр,0.0169,9365,3372,305,120,True,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,20-03-2020 22:02:23,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,5,нет,Тбилиси,1 гр,0.0064,3512,1265,114,45,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,20-03-2020 22:02:23,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,11,нет,Тбилиси,1 гр,0.0046,2575,927,84,33,,,,,,,,,,,,1G ---> ONLY BUDS
9,20-03-2020 22:02:23,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,6,нет,Тбилиси,1 гр,0.0163,9365,3372,305,120,True,,,,,,,,,,,1g MDMA (IMPORTED)
10,20-03-2020 22:02:23,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0847,46827,16860,1525,600,True,,,,,,,,,,,Metadon VHQ 1 24/7
11,20-03-2020 22:02:23,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0253,13970,5030,455,179,,,True,,,,,,,,,Kokain KOLUMBIA 1g
12,20-03-2020 22:02:23,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1155,70240,25290,2287,900,True,,,,,,,,,,,Metadon 1gr
13,20-03-2020 22:02:23,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.009,5463,1967,178,70,True,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,20-03-2020 22:02:23,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,15,нет,Тбилиси,2 гр,0.0135,8195,2951,267,105,True,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,20-03-2020 22:02:23,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,2 гр,0.0112,6166,2220,201,79,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
16,20-03-2020 22:02:23,Tbilisi,ABOAB,ProGrow,2G ---> ONLY BUDS,True,15,нет,Тбилиси,2 гр,0.0086,4761,1714,155,61,,,,,,,,,,,,2G ---> ONLY BUDS
17,20-03-2020 22:02:23,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,1,нет,Тбилиси,2 гр,0.0496,27706,9976,902,355,,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
18,20-03-2020 22:02:23,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,1,нет,Тбилиси,2 гр,0.0046,2810,1012,92,36,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
19,20-03-2020 22:02:23,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,,3,нет,Тбилиси,2 гр,0.0513,29579,10650,963,379,True,,,,,,,,,,,Kokain HQ 2g.
20,20-03-2020 22:02:23,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.015,8195,2951,267,105,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,20-03-2020 22:02:23,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0411,24974,8992,813,320,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
22,20-03-2020 22:02:23,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0453,26088,9409,857,,True,310,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
23,20-03-2020 22:02:23,Tbilisi,ABOAB,ProGrow,5G ---> ONLY BUDS,True,2,нет,Тбилиси,5 гр,0.0155,8585,3091,280,110,True,,,,,,,,,,,5G ---> ONLY BUDS
24,20-03-2020 22:02:23,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0249,13658,4918,445,175,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,20-03-2020 22:02:23,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,2,нет,Тбилиси,5 гр,0.1111,61421,22115,2000,787,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
26,20-03-2020 22:02:23,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,5 гр,0.0083,5073,1827,165,65,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
27,20-03-2020 22:02:23,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0459,25364,9133,826,325,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
28,20-03-2020 22:02:23,Tbilisi,UJP9,420Inc,THC Snow Leavs 6G,,2,нет,Тбилиси,6 гр,0.0056,3122,1124,102,40,True,,,,,,,,,,,THC Snow Leavs 6G
29,20-03-2020 22:02:23,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0515,28486,10257,928,365,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
30,20-03-2020 22:02:23,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0127,7726,2782,252,99,True,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
31,20-03-2020 22:02:23,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0542,31218,11240,1017,400,True,,,,,,,,,,,gashish evro 10g
32,20-03-2020 22:02:23,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0896,49558,17844,1614,635,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
33,20-03-2020 22:02:23,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2566,156089,56200,5083,2000,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,20-03-2020 22:03:21,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0893,49558,17844,1614,635,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
35,20-03-2020 22:03:21,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2557,156089,56200,5083,2000,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,20-03-2020 22:03:21,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,13,5,Тбилиси,0.27 гр,0.0322,17716,6379,577,227,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
37,20-03-2020 22:03:21,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.0994,54631,19670,1779,700,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
38,20-03-2020 22:03:21,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0284,15609,5620,508,200,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
39,20-03-2020 22:03:21,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0838,46046,16579,1499,590,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,20-03-2020 22:03:21,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0563,31218,11240,1017,400,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
