,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,05-03-2020 03:53:16,Tbilisi,4a91350669,3 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,3 гр,0.0131,7929,2993,268,120.0,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
11,11,05-03-2020 03:53:16,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,3,нет,Тбилиси,3 гр,0.0117,7374,2778,249,,100.0,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
12,12,05-03-2020 03:53:16,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0292,18434,6945,622,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
13,13,05-03-2020 03:53:16,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,1,нет,Тбилиси,4 гр,0.006,3965,1496,134,60.0,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
14,14,05-03-2020 03:53:16,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0318,21145,7981,714,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
15,15,05-03-2020 03:53:16,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0468,29495,11112,996,,400.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,16,05-03-2020 03:53:16,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,4,нет,Тбилиси,5 гр,0.0162,9912,3741,335,150.0,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
17,17,05-03-2020 03:53:16,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0399,24119,9103,814,365.0,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
18,18,05-03-2020 03:53:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,8,нет,Тбилиси,10 гр,0.0292,17643,6659,596,267.0,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
19,19,05-03-2020 03:53:16,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0098,6542,2469,221,99.0,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
20,20,05-03-2020 03:53:16,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0419,26431,9976,892,400.0,,,,,,,,gashish evro 10g
