,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Nadzaladevi,Varketili,Gldani,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-04-2020 23:20:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0137,8039,2987,270,109.0,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,12-04-2020 23:20:36,Tbilisi,54915c4374,MDMA 0.5 грам.,True,1,нет,Тбилиси,0.5 гр,0.0089,5531,2055,186,75.0,,,,,,,,,,,,,MDMA 0.5 gram.
2,2,12-04-2020 23:20:36,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0058,3245,1206,109,44.0,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,3,12-04-2020 23:20:36,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0065,4056,1507,136,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,12-04-2020 23:20:36,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0248,14000,6442,470,,,,,,,,,,,,,,1 a-pvp white
5,5,12-04-2020 23:20:36,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0052,2950,1096,99,40.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,6,12-04-2020 23:20:36,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0072,4056,1507,136,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,7,12-04-2020 23:20:36,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0051,2876,1069,97,39.0,,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,12-04-2020 23:20:36,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,1,нет,Тбилиси,1 гр,0.0026,1475,548,50,20.0,,,,,,,,,,,,,1 gr listja plus galovki marihuana
9,9,12-04-2020 23:20:36,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,13,нет,Тбилиси,1 гр,0.0289,16152,6001,542,219.0,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
