,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
25,26-05-2020 16:46:04,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0265,17074,6506,576,240,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,26-05-2020 16:46:04,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0254,16362,6235,552,230,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,26-05-2020 16:46:04,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0175,11311,4310,382,159,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
28,26-05-2020 16:46:04,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0265,17074,6506,576,240,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
29,26-05-2020 16:46:04,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0265,17074,6506,576,240,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,26-05-2020 16:46:04,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0254,16362,6235,552,230,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,26-05-2020 16:46:04,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.022,15580,5937,526,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,26-05-2020 16:46:04,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0259,16718,6371,564,235,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,26-05-2020 16:46:39,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0274,17785,6778,600,250,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
34,26-05-2020 16:46:39,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2657,190000,87429,6368,,True,,,,,,,,,reagent 25i nbome. 5gr
35,26-05-2020 16:46:39,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2984,213422,81330,7199,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
36,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.106,68224,25998,2301,959,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
37,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.021,13517,5151,456,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.054,34788,13257,1173,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
39,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,10,Тбилиси,5 гр,0.0209,13446,5124,454,189,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
40,26-05-2020 16:46:39,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0985,64027,24399,2160,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,26-05-2020 16:46:39,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0438,28456,10844,960,400,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,26-05-2020 16:46:39,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0766,49799,18977,1680,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,26-05-2020 16:46:39,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.046,29879,11386,1008,420,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,26-05-2020 16:46:39,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,,1,38,Тбилиси,10 гр,0.0148,9604,3660,324,135,True,,,,,,,,,10G Hybrid Marijuana Leafs
45,26-05-2020 16:46:39,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0875,56913,21688,1920,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,26-05-2020 16:46:39,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2435,158288,60320,5339,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
47,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1723,110909,42264,3741,1559,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0408,26251,10004,885,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0348,22409,8540,756,315,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
50,26-05-2020 16:46:39,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,,нет,11,Тбилиси,20 гр,0.0437,28385,10817,957,399,True,,,,,,,,,20 gr georgian weed. Package on magnet
51,26-05-2020 16:46:39,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5526,355704,135550,11998,5000,True,,,,,,,,,METADON - 20 G.
52,26-05-2020 16:46:39,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0662,42613,16239,1437,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,26-05-2020 16:46:39,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1422,92412,35216,3117,1299,True,,,,,,,,,50 gr georgian weed. Package on magnet
54,26-05-2020 16:46:39,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2735,177781,67748,5996,2499,True,,,,,,,,,100 gr georgian weed. Package on magnet
55,26-05-2020 16:46:39,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2626,170738,65064,5759,2400,True,,,,,,,,,100 gr marijuana buds
56,26-05-2020 16:46:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2189,142282,54220,4799,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,26-05-2020 16:46:39,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2736,177852,67775,5999,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,26-05-2020 16:46:39,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6456,419731,159949,14157,5900,True,,,,,,,,,180 gr marihuana persoalno
59,26-05-2020 16:46:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5034,327248,124706,11038,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,26-05-2020 16:46:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8207,533556,203325,17996,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,26-05-2020 16:46:39,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9302,604697,230435,20396,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,26-05-2020 16:46:39,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0199,14228,5422,480,200,True,,,,,,,,,KURYER..500RUB.+BONUS
63,26-05-2020 16:46:39,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0219,14228,5422,480,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,26-05-2020 16:46:39,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0274,17785,6778,600,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,26-05-2020 16:46:39,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6564,1067112,406650,35993,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
66,26-05-2020 16:48:10,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0332,21342,8133,720,300,,,,,,,True,,,shishki marihuany 5G
67,26-05-2020 16:48:10,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2432,156510,59642,5279,2200,,,,,,,,True,,[100g] SPAIN HASH
68,26-05-2020 16:48:10,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6047,2304,204,85,,,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
69,26-05-2020 16:48:10,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1756,112990,51992,3787,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,26-05-2020 16:48:10,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.278,178900,82321,5996,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,26-05-2020 16:48:10,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0101,7114,2711,240,100,,,,,,,,True,,kur'er v Batumi
72,26-05-2020 16:48:10,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0251,17785,6778,600,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
73,26-05-2020 16:48:10,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0251,17785,6778,600,250,,,,,,,,True,,Ischu kur'era v Gruzii!
74,26-05-2020 16:48:10,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0121,7779,2960,261,,,,100,,,,,True,,Rabota na marki (kur'er)
75,26-05-2020 16:48:10,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6734,1067112,406650,35993,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
76,26-05-2020 16:48:10,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0553,35570,13555,1200,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,26-05-2020 16:49:44,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0531,34503,13148,1164,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,26-05-2020 16:49:44,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,3 гр,0.0357,23476,8946,792,330,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,26-05-2020 16:49:44,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5336,2033,180,75,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
80,26-05-2020 16:49:44,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0121,7779,2960,261,,,,100,,,,,,True,Rabota na marki (kur'er)
