,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,23-03-2020 14:03:56,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0136,7024,2556,230,90.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,23-03-2020 14:03:56,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,4,нет,Тбилиси,0.25 гр,0.0287,14828,5396,486,190.0,,,,,,,,,,,,"Metadon VHQ 0,25"
2,2,23-03-2020 14:03:56,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0143,7726,2812,253,99.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,23-03-2020 14:03:56,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,2,нет,Тбилиси,0.5 гр,0.0098,5073,1846,166,65.0,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
4,4,23-03-2020 14:03:56,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0603,31218,11360,1024,400.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,23-03-2020 14:03:56,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0174,9365,3408,307,120.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,23-03-2020 14:03:56,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0151,7726,2812,253,99.0,,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,7,23-03-2020 14:03:56,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,8,нет,Тбилиси,1 гр,0.0068,3512,1278,115,45.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,23-03-2020 14:03:56,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,6,нет,Тбилиси,1 гр,0.0066,3434,1250,113,44.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,23-03-2020 14:03:56,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0068,3512,1278,115,45.0,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
