,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Тбилиси,Дигоми,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,19-07-2020 23:04:21,Tbilisi,be97026d1d,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.3 гр,0.0127,8822,3397,295,108.0,,,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,19-07-2020 23:04:21,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0035,2367,912,79,,33.0,,,,,,,,,,0.5 gr HYBRID buds
2,2,19-07-2020 23:04:21,Tbilisi,16a8841259,0.5г Ak - 47,,1,нет,Тбилиси,0.5 гр,0.0034,2295,885,77,,32.0,True,,,,,,,,,0.5g Ak - 47
3,3,19-07-2020 23:04:21,Tbilisi,16a8841259,0.5г Northen Light,,12,нет,Тбилиси,0.5 гр,0.0033,2223,857,74,,31.0,True,,,,,,,,,0.5g Northen Light
4,4,19-07-2020 23:04:21,Tbilisi,16a8841259,0.5г Skunk,,2,нет,Тбилиси,0.5 гр,0.0033,2223,857,74,,31.0,True,,,,,,,,,0.5g Skunk
5,5,19-07-2020 23:04:21,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,4,нет,Тбилиси,0.5 гр,0.0036,2438,940,82,,34.0,True,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,6,19-07-2020 23:04:21,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0114,7745,2986,259,,108.0,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
7,7,19-07-2020 23:04:21,Tbilisi,8e86176694,Шишки в состоянии киффа!! 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0028,2080,802,70,,29.0,,,,,,,,,,Shishki v sostojanii kiffa!! 0.5g
8,8,19-07-2020 23:04:21,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,4,нет,Тбилиси,1 гр,0.0062,4231,1631,142,,59.0,True,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,19-07-2020 23:04:21,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,4,нет,Тбилиси,1 гр,0.0063,4303,1659,144,,60.0,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
