,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-03-2020 07:06:18,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,10,нет,Тбилиси,0.12 гр,0.0166,8143,2934,258,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,13-03-2020 07:06:18,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.0252,11104,4001,352,150,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,13-03-2020 07:06:18,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0287,14065,5067,446,190,,,,,,,,,,Metadon VHQ 0.25 24/7
3,13-03-2020 07:06:18,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.0303,14065,5067,446,190,,,,,,,,,,"Metadon VHQ 0,25"
4,13-03-2020 07:06:18,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0503,22208,8001,704,300,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,13-03-2020 07:06:18,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,1,нет,Тбилиси,0.33 гр,0.0104,4812,1734,153,65,,,,,,,,,,"A PVP 0,33 VHQ"
6,13-03-2020 07:06:18,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,10,нет,Тбилиси,0.35 гр,0.0117,5182,1867,164,70,,,,,,,,,,0.35gr ALFA PVP GREEN
7,13-03-2020 07:06:18,Tbilisi,OX85,amnesia420,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,5,нет,Тбилиси,0.5 гр,0.004,1851,667,59,25,,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
8,13-03-2020 07:06:18,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0174,8069,2907,256,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,13-03-2020 07:06:18,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,8,нет,Тбилиси,0.5 гр,0.0166,7329,2640,232,99,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
10,13-03-2020 07:06:18,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.006,2961,1067,94,40,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
11,13-03-2020 07:06:18,Tbilisi,OX85,amnesia420,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale,True,4,нет,Тбилиси,1 гр,0.0064,2961,1067,94,40,,,,,,,,,,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale
12,13-03-2020 07:06:18,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.016,7111,2554,225,,85,,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
13,13-03-2020 07:06:18,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0171,7948,2855,251,,95,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
14,13-03-2020 07:06:18,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0211,10364,3734,329,140,,,,,,,,,,ALFA PVP 1g
15,13-03-2020 07:06:18,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,13,нет,Тбилиси,1 гр,0.0249,11104,4001,352,150,,,,,,,,,,Apvp VHQ 1g 24/7
16,13-03-2020 07:06:18,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0285,13251,4774,420,179,,,,,,,,,,Cocaine Pure VHQ 1g
17,13-03-2020 07:06:18,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0083,3701,1334,117,50,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
18,13-03-2020 07:06:18,Tbilisi,X4ZM,ZYX,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0133,5922,2134,188,80,,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
19,13-03-2020 07:06:18,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0211,10364,3734,329,140,,,,,,,,,,NZT-52 mind storm limited 1g muka
