,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Varketili,Авлобари,Didube,€,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
0,04-05-2020 17:28:49,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0037,2545,950,85,35,,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,04-05-2020 17:28:49,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0059,4000,1493,133,55,True,,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,04-05-2020 17:28:49,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.005,3709,1385,123,51,,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
3,04-05-2020 17:28:49,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0061,4145,1548,138,57,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,04-05-2020 17:28:49,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0061,4145,1548,138,57,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
5,04-05-2020 17:28:49,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,1,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55,,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
6,04-05-2020 17:28:49,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,10,нет,Тбилиси,1 гр,0.0323,21745,8118,722,299,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,04-05-2020 17:28:49,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",True,4,нет,Тбилиси,1 гр,0.0051,3491,1303,116,48,,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,04-05-2020 17:28:49,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0251,17091,6380,567,235,,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,04-05-2020 17:28:49,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,5,нет,Тбилиси,1 гр,0.004,2982,1113,99,41,,,,,,,,,,,,,Hybrid Ana-sha 1G.
10,04-05-2020 17:28:49,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,2,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55,,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
11,04-05-2020 17:28:49,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",,4,нет,Тбилиси,1 гр,0.0048,3564,1330,118,49,,True,True,True,True,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
12,04-05-2020 17:28:49,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 1 Gr,True,13,нет,Тбилиси,1 гр,0.0044,2982,1113,99,41,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
13,04-05-2020 17:28:49,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0875,65454,24435,2173,900,,,,,,,,,,,,,Metadon 1gr
