,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-03-2020 14:36:21,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.023,15009,5471,487,210,,,,,,,,,,Metadon VHQ 0.25 24/7
1,11-03-2020 14:36:21,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.039,22871,8336,743,320,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,11-03-2020 14:36:21,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.0121,7076,2579,230,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,11-03-2020 14:36:21,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0126,7790,2839,253,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,11-03-2020 14:36:21,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0036,2144,782,70,30,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,11-03-2020 14:36:21,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0047,2787,1016,91,39,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
6,11-03-2020 14:36:21,Tbilisi,ABOAB,ProGrow,1G ---> INDICA,,3,нет,Тбилиси,1 гр,0.0041,2502,912,81,35,True,,,,,,,,,1G ---> INDICA
7,11-03-2020 14:36:21,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,1 гр,0.0241,14151,5158,460,198,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
8,11-03-2020 14:36:21,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,3,нет,Тбилиси,1 гр,0.0154,10006,3647,325,140,,,,,,,,,,ALFA PVP 1g
9,11-03-2020 14:36:21,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0181,10721,3908,348,150,,,,,,,,,,Apvp VHQ 1g 24/7
10,11-03-2020 14:36:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0207,12793,4663,415,179,,,,,,,,,,Cocaine Pure VHQ 1g
11,11-03-2020 14:36:21,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0054,3216,1172,104,45,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
12,11-03-2020 14:36:21,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.023,13508,4923,439,189,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
13,11-03-2020 14:36:21,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.023,14223,5184,462,199,,,,,,,,,,VHQ BEST Cocaine 1g.
14,11-03-2020 14:36:21,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0226,13508,4923,439,189,,,,,,,,,,Kokain HQ 1g.
15,11-03-2020 14:36:21,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0216,12793,4663,415,179,,True,,,,,,,,Kokain KOLUMBIA 1g
16,11-03-2020 14:36:21,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0988,64325,23445,2089,900,,,,,,,,,,Metadon 1gr
17,11-03-2020 14:36:21,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0219,12865,4689,418,180,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
18,11-03-2020 14:36:21,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0236,14584,5310,474,,,,180,,,,,,,2 gr mdma (skidka v bitkoin 5%)
19,11-03-2020 14:36:21,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,26,нет,Тбилиси,2 гр,0.0079,4789,1745,156,67,True,,,,,,,,,2G ---> INDICA
20,11-03-2020 14:36:21,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0439,25730,9378,835,360,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
21,11-03-2020 14:36:21,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,21,нет,Тбилиси,3 гр,0.0102,6647,2423,216,93,True,,,,,,,,,3G ---> INDICA
22,11-03-2020 14:36:21,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0194,11364,4142,369,159,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
23,11-03-2020 14:36:21,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0189,11078,4038,360,155,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
24,11-03-2020 14:36:21,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0351,22871,8336,743,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
25,11-03-2020 14:36:21,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0492,30383,11063,988,,,,375,,,,,,,5 gr mdma (skidka v bitkoin 5%)
26,11-03-2020 14:36:21,Tbilisi,8B31,bobbyz,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0153,9935,3621,323,139,,True,,,,,,,,5gr georgian indica (hight quality)
27,11-03-2020 14:36:21,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0213,12508,4559,406,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
