,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Didube,$,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,13-07-2020 17:35:30,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0114,7929,3046,272,99.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,13-07-2020 17:35:30,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0106,7208,2769,247,90.0,True,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,13-07-2020 17:35:30,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.5G A+++,,2,нет,Тбилиси,0.5 гр,0.0067,4599,1771,158,,True,True,65.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
3,3,13-07-2020 17:35:30,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,True,1,нет,Тбилиси,0.5 гр,0.0036,2476,954,85,,,,35.0,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
4,4,13-07-2020 17:35:30,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,3,нет,Тбилиси,0.5 гр,0.0041,2803,1077,96,35.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
5,5,13-07-2020 17:35:30,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,1 гр,0.0062,4245,1635,146,,True,,60.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,13-07-2020 17:35:30,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0061,4174,1608,143,,True,,59.0,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,13-07-2020 17:35:30,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,8,нет,Тбилиси,1 гр,0.0062,4245,1635,146,,True,,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,13-07-2020 17:35:30,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0061,4174,1608,143,,True,,59.0,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
9,9,13-07-2020 17:35:30,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0062,4245,1635,146,,True,,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
10,10,13-07-2020 17:35:30,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,5,нет,Тбилиси,1 гр,0.0061,4174,1608,143,,True,,59.0,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11,13-07-2020 17:35:30,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0057,3891,1499,134,,True,,55.0,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
12,12,13-07-2020 17:35:30,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,1 гр,0.0052,3891,1499,134,,True,,55.0,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
13,13,13-07-2020 17:35:30,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,True,2,нет,Тбилиси,1 гр,0.0062,4245,1635,146,,,,60.0,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
14,14,13-07-2020 17:35:30,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3891,1499,134,,True,,55.0,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
15,15,13-07-2020 17:35:30,Tbilisi,fccfd69694,Бошки OG Kush 1g.,,2,нет,Тбилиси,1 гр,0.0042,2830,1090,97,,True,,40.0,,,,,,,,,,Boshki OG Kush 1g.
16,16,13-07-2020 17:35:30,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0071,4806,1846,165,60.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
17,17,13-07-2020 17:35:30,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0114,7782,2998,267,,True,,110.0,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,18,13-07-2020 17:35:30,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0125,8490,3270,292,,True,,120.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,13-07-2020 17:35:30,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0125,8490,3270,292,,True,,120.0,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,13-07-2020 17:35:30,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0104,7075,2725,243,,True,,100.0,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
21,21,13-07-2020 17:35:30,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0125,8490,3270,292,,True,,120.0,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
22,22,13-07-2020 17:35:30,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,8,нет,Тбилиси,2 гр,0.0104,7782,2998,267,,,True,110.0,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
23,23,13-07-2020 17:35:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0104,7782,2998,267,,True,,110.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
24,24,13-07-2020 17:35:30,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,,2,нет,Тбилиси,2 гр,0.009000000000000001,6721,2589,231,,True,,95.0,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
