,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,15-05-2020 01:31:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.018000000000000002,4708,428,12938,,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,15-05-2020 01:31:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1138,30935,2813,85019,,1150.0,,,,,,,,,VHQ BEST Cocaine 5g.
26,26,15-05-2020 01:31:43,Tbilisi,7cab566931,GEORGIAN MARIJUANA - 7 GRAM,True,2,нет,Тбилиси,7 гр,0.0084,2421,220,6654,,90.0,,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
27,27,15-05-2020 01:31:43,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,10 гр,0.0203,5353,487,14712,True,199.0,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
28,28,15-05-2020 01:31:43,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0392,10760,979,29572,,400.0,,,,,,,,,gashish evro 10g
29,29,15-05-2020 01:31:43,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0761,20901,1901,57443,,777.0,,,,,,,,,Gashish Evro 20gr
30,30,15-05-2020 01:31:43,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1856,53800,4893,147860,,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,15-05-2020 01:31:43,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.1 гр,0.005,1310,119,3596,,,,,45.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
32,32,15-05-2020 01:31:43,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0099,2619,239,7191,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
33,33,15-05-2020 01:31:43,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,8,Тбилиси,0.5 гр,0.0077,2018,183,5545,,75.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
34,34,15-05-2020 01:31:43,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0163,4304,391,11829,,160.0,,,,,,,,,"""Kief"" Weed trichomes 1G"
35,35,15-05-2020 01:32:35,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.038,9926,905,27280,,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,36,15-05-2020 01:32:35,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0596,15575,1419,42805,,579.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,37,15-05-2020 01:32:35,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0407,10760,980,29572,,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,38,15-05-2020 01:32:35,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0143,3766,343,10350,True,140.0,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
39,39,15-05-2020 01:32:35,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.055999999999999994,14795,1348,40661,,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
