,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Nadzaladevi,Vake,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
23,23,04-04-2020 10:26:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,3,нет,Тбилиси,1 гр,0.0281,15935,5668,530,205.0,,True,,,,,,,,,VHQ BEST Cocaine 1g.
24,24,04-04-2020 10:26:09,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,5,нет,Тбилиси,1 гр,0.0144,7851,2793,261,101.0,,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
25,25,04-04-2020 10:26:09,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0267,14691,5226,488,189.0,,True,,,,,,,,,Kokain HQ 1g.
26,26,04-04-2020 10:26:09,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0256,13914,4949,463,179.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
27,27,04-04-2020 10:26:09,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1169,69959,24885,2326,900.0,,True,,,,,,,,,Metadon 1gr
28,28,04-04-2020 10:26:09,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.0026,1555,553,52,20.0,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
29,29,04-04-2020 10:26:09,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0157,8473,3014,282,109.0,,True,,,,,,,,,✨ 1g. MDMA ✨
30,30,04-04-2020 10:26:09,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0099,5364,1908,178,69.0,,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
31,31,04-04-2020 10:26:09,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0099,5364,1908,178,69.0,,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
32,32,04-04-2020 10:26:09,Tbilisi,e56bb6ca93,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,2,нет,Тбилиси,2 гр,0.0113,6141,2184,204,79.0,,True,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
33,33,04-04-2020 10:26:09,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0099,5364,1908,178,69.0,,,,,True,,,,,,2 gr Shishki “OG KUSH VHQ”
34,34,04-04-2020 10:26:36,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0101,5441,1936,181,70.0,,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
35,35,04-04-2020 10:26:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0468,27984,9954,930,360.0,,True,,,,,,,,,Cocaine Pure VHQ 2 g
36,36,04-04-2020 10:26:36,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,4,нет,Тбилиси,2 гр,0.0107,5830,2074,194,75.0,,True,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
37,37,04-04-2020 10:26:36,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,13,нет,Тбилиси,2 гр,0.0045,2721,968,90,35.0,,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
38,38,04-04-2020 10:26:36,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0045,2721,968,90,35.0,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
39,39,04-04-2020 10:26:36,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0439,24874,8848,827,320.0,,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
40,40,04-04-2020 10:26:36,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0425,23320,8295,775,300.0,,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
41,41,04-04-2020 10:26:36,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0253,13603,4839,452,175.0,,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
42,42,04-04-2020 10:26:36,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0071,4275,1521,142,55.0,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,04-04-2020 10:26:36,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.057,31015,11032,1031,399.0,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
44,44,04-04-2020 10:26:36,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0522,28372,10092,943,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,45,04-04-2020 10:26:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0382,20755,7383,690,267.0,,True,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
46,46,04-04-2020 10:26:36,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,3,3,Тбилиси,10 гр,0.0143,8574,2986,279,,True,True,,,,100.0,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
47,47,04-04-2020 10:26:36,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.011000000000000001,6607,2350,220,85.0,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
48,48,04-04-2020 10:26:36,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0549,31093,11060,1034,400.0,,True,,,,,,,,,gashish evro 10g
49,49,04-04-2020 10:26:36,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1066,60398,21484,2008,777.0,,True,,,,,,,,,Gashish Evro 20gr
50,50,04-04-2020 10:26:36,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2599,155465,55300,5169,2000.0,,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
51,51,04-04-2020 10:26:36,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0318,17148,5972,559,,,True,,,,200.0,,,,,METADON - 0.25 G.
52,52,04-04-2020 10:26:36,Tbilisi,54915c4374,MDMA 1 гр,,нет,2,Тбилиси,1 гр,0.0143,8574,2986,279,,,True,,,,100.0,,,,,MDMA 1 gr
53,53,04-04-2020 10:26:36,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0289,15547,5530,517,200.0,,True,,,,,,,,,✨✨2gram. MDMA✨✨
54,54,04-04-2020 10:26:36,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0533,28683,10203,954,369.0,,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
55,55,04-04-2020 10:26:36,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0852,45862,16314,1525,590.0,,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,04-04-2020 10:26:36,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0572,31093,11060,1034,400.0,,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,04-04-2020 10:26:36,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0229,12437,4424,414,160.0,,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
58,58,04-04-2020 10:26:36,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0786,42753,15208,1422,550.0,,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,59,04-04-2020 10:26:36,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0242,13137,4673,437,169.0,,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
60,60,04-04-2020 10:26:36,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0243,13215,4701,439,170.0,,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,61,04-04-2020 10:26:36,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0284,15469,5502,514,199.0,,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,62,04-04-2020 10:26:36,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0284,15469,5502,514,199.0,,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
63,63,04-04-2020 10:26:36,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0285,17023,6055,566,219.0,,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
64,64,04-04-2020 10:26:36,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0433,23320,8295,775,300.0,,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
65,65,04-04-2020 10:26:36,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0284,15469,5502,514,199.0,,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
66,66,04-04-2020 10:27:19,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0284,15469,5502,514,199.0,,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
67,67,04-04-2020 10:27:19,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.026000000000000002,15547,5530,517,200.0,,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
68,68,04-04-2020 10:27:19,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3176,190000,87429,6378,,,True,,,,,,,,,reagent 25i nbome. 5gr
69,69,04-04-2020 10:27:19,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3898,233198,82950,7754,3000.0,True,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
70,70,04-04-2020 10:27:19,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1255,67550,24028,2246,869.0,,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
71,71,04-04-2020 10:27:19,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0274,14769,5254,491,190.0,,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
72,72,04-04-2020 10:27:19,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0706,38011,13521,1264,489.0,,True,,,,,,,,,💘✨5g. MDMA ✨💘
73,73,04-04-2020 10:27:19,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0273,14691,5226,488,189.0,,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
74,74,04-04-2020 10:27:19,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1287,69959,24885,2326,900.0,,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
75,75,04-04-2020 10:27:19,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1001,54413,19355,1809,700.0,,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
76,76,04-04-2020 10:27:19,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0457,24874,8848,827,320.0,,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
77,77,04-04-2020 10:27:19,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1144,62186,22120,2068,800.0,,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
78,78,04-04-2020 10:27:19,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3181,172955,61521,5751,2225.0,,True,,,,,,,,,Amfetamin [White] [Import] 10G
79,79,04-04-2020 10:27:19,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2092,112634,40065,3745,1449.0,,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
