,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
25,16-05-2020 08:31:03,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.1 гр,0.005,1305,119,3561,,,,45,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
26,16-05-2020 08:31:03,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0101,2610,238,7122,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
27,16-05-2020 08:31:03,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,8,Тбилиси,0.5 гр,0.0078,2014,183,5490,75,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
28,16-05-2020 08:31:03,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0166,4296,391,11713,160,,,,,,,,,"""Kief"" Weed trichomes 1G"
29,16-05-2020 08:31:03,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0386,9908,903,27013,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,16-05-2020 08:31:03,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0606,15546,1416,42386,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,16-05-2020 08:31:03,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0415,10740,978,29282,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,16-05-2020 08:31:03,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0145,3759,342,10249,140,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,16-05-2020 08:31:03,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.057,14768,1345,40263,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,16-05-2020 08:31:43,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0244,6310,575,17203,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,16-05-2020 08:31:43,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0249,6444,587,17569,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,16-05-2020 08:31:43,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0239,6176,563,16837,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,16-05-2020 08:31:43,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0165,4269,389,11640,159,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,16-05-2020 08:31:43,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0249,6444,587,17569,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
