,time_stamp,region,sell_code,sell_name,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,05-04-2020 09:43:21,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,True,3,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,05-04-2020 09:43:21,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",,,2,нет,Тбилиси,0.25 гр,0.024,13215,4701,437,170,True,,,,,,,,,"Metadon VHQ 0,25"
2,05-04-2020 09:43:21,Tbilisi,A3I9,Joookerrr,MDMA 0.380 грам.,,True,2,нет,Тбилиси,0.38 гр,0.0071,4275,1521,141,55,,True,,,,,,,,MDMA 0.380 gram.
3,05-04-2020 09:43:21,Tbilisi,LGRP8,Walker12,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,,,1,нет,Тбилиси,0.5 гр,0.0041,2332,830,77,30,,True,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
4,05-04-2020 09:43:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,,2,нет,Тбилиси,0.5 гр,0.0134,7696,2737,255,99,,True,,,,,,,,Cocaine Pure VHQ 0.5g
5,05-04-2020 09:43:21,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,,1,нет,Тбилиси,0.5 гр,0.0424,23320,8295,772,300,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
6,05-04-2020 09:43:21,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,,8,нет,Тбилиси,0.5 гр,0.0106,5830,2074,193,75,,True,,,,,,,,MDMA 0.5gr ogromnye kamni!
7,05-04-2020 09:43:21,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,,10,нет,Тбилиси,0.5 гр,0.0078,4275,1521,141,55,,True,,,,,,,,MEPHEDRONE 0.5 gr
8,05-04-2020 09:43:21,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,,2,нет,Тбилиси,0.5 гр,0.0163,9328,3318,309,120,,True,,,,,,,,Pure COCAINE VHQ 0.5g
9,05-04-2020 09:43:21,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,,2,нет,Тбилиси,0.5 гр,0.0155,8473,3014,280,109,,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
10,05-04-2020 09:43:21,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,,2,нет,Тбилиси,0.65 гр,0.0116,6996,2489,232,90,True,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
11,05-04-2020 09:43:21,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,,9,нет,Тбилиси,1 гр,0.0062,3420,1217,113,44,,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
12,05-04-2020 09:43:21,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,,3,нет,Тбилиси,1 гр,0.0077,4664,1659,154,60,,True,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,05-04-2020 09:43:21,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,,4,нет,Тбилиси,1 гр,0.0071,3887,1383,129,50,,True,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
14,05-04-2020 09:43:21,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,,9,нет,Тбилиси,1 гр,0.0055,3032,1078,100,39,,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
15,05-04-2020 09:43:21,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,,1,нет,Тбилиси,1 гр,0.0054,2954,1051,98,38,,True,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
16,05-04-2020 09:43:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,,4,нет,Тбилиси,1 гр,0.0256,14691,5226,486,189,,True,,,,,,,,Cocaine Pure VHQ 1g
17,05-04-2020 09:43:21,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,,5,нет,Тбилиси,1 гр,0.0847,46640,16590,1543,600,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
18,05-04-2020 09:43:21,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,,,3,2,Тбилиси,1 гр,0.0142,8574,2986,278,,,True,True,100,,,,,,MDMA 1 gr
19,05-04-2020 09:43:21,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,,5,нет,Тбилиси,1 гр,0.0988,54413,19355,1801,700,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
