,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,31-03-2020 01:31:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0131,7696,2822,258,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,31-03-2020 01:31:25,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,1,нет,Тбилиси,0.7 гр,0.0119,7385,2708,247,95.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
2,2,31-03-2020 01:31:25,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,1 гр,0.0075,4664,1710,156,60.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,3,31-03-2020 01:31:25,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.0069,3887,1425,130,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,31-03-2020 01:31:25,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,11,нет,Тбилиси,1 гр,0.0052,2954,1083,99,38.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
5,5,31-03-2020 01:31:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.025,14691,5387,492,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,31-03-2020 01:31:25,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0051,3187,1169,107,41.0,,,,,,,,,,,Hybrid Ana-sha 1G.
7,7,31-03-2020 01:31:25,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",True,9,нет,Тбилиси,1 гр,0.0059,3343,1226,112,43.0,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
8,8,31-03-2020 01:31:25,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,9,нет,Тбилиси,1 гр,0.0207,11660,4275,390,150.0,True,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
9,9,31-03-2020 01:31:25,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0247,13914,5102,466,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
