,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,15-02-2020 13:26:37,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0113,8249,3203,286,130,,,,,,,,,,Metadon 0.15gr
1,15-02-2020 13:26:37,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0156,11422,4435,396,180,,,,,,,,,,Metadon VHQ 0.25 24/7
2,15-02-2020 13:26:37,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.3g,True,5,нет,Тбилиси,0.3 гр,0.0057,3807,1478,132,60,True,,,,,,,,,ALFA PVP in City 0.3g
3,15-02-2020 13:26:37,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,4,нет,Тбилиси,0.33 гр,0.0055,3807,1478,132,60,,,,,,,,,,"A PVP 0,33 VHQ"
4,15-02-2020 13:26:37,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.0066,4378,1700,152,69,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
5,15-02-2020 13:26:37,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,4,нет,Тбилиси,0.5 гр,0.0057,3744,1454,130,59,,,,,,,,,,0.5 g. Ketamine
6,15-02-2020 13:26:37,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,6,нет,Тбилиси,0.5 гр,0.0028,1840,715,64,29,,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,15-02-2020 13:26:37,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0058,3807,1478,132,60,,,,,,,,,,Ketamine 0.5g
8,15-02-2020 13:26:37,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0251,18402,7146,638,290,,,,,,,,,,Metadon VHQ 0.5 24/7
9,15-02-2020 13:26:37,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,8,нет,Тбилиси,0.5 гр,0.0095,6282,2439,218,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
