,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,25-05-2020 03:18:29,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0108,7188,2705,240,100,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,25-05-2020 03:18:29,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,3,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,25-05-2020 03:18:29,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,25-05-2020 03:18:29,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0054,3594,1353,120,50,,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
4,25-05-2020 03:18:29,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,1 гр,0.0054,3594,1353,120,50,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
5,25-05-2020 03:18:29,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,1 гр,0.0054,3594,1353,120,50,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
6,25-05-2020 03:18:29,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0882,64692,24345,2159,900,,,,,,,,,,,,,Metadon 1gr
7,25-05-2020 03:18:29,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0095,6325,2380,211,88,,,True,,,,,,,,,,2gr HYBRID buds
8,25-05-2020 03:18:29,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,9,нет,Тбилиси,3 гр,0.014,9344,3517,312,130,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
9,25-05-2020 03:18:29,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0114,7547,2840,252,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,25-05-2020 03:18:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0115,7691,2894,257,107,,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
