,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Центр,Батуми,desc_en
0,0,02-08-2020 18:20:39,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,True,11,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
1,1,02-08-2020 18:20:39,Tbilisi,21de5577be,0.5 gr. Lemon Haze (Sativa),True,1,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,,,,,,,,,,,0.5 gr. Lemon Haze (Sativa)
2,2,02-08-2020 18:20:39,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,5,нет,Тбилиси,0.5 гр,0.0026,2129,808,71,29.0,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
3,3,02-08-2020 18:20:39,Tbilisi,16a8841259,0.5г Northen Light,,4,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,True,,,,,,,,,,0.5g Northen Light
4,4,02-08-2020 18:20:39,Tbilisi,16a8841259,0.5г Skunk,,9,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,True,,,,,,,,,,0.5g Skunk
5,5,02-08-2020 18:20:39,Tbilisi,16a8841259,0.5г Tangerine Dream,,6,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,True,,,,,,,,,,0.5g Tangerine Dream
6,6,02-08-2020 18:20:39,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),True,7,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
7,7,02-08-2020 18:20:39,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,6,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34.0,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
8,8,02-08-2020 18:20:39,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,12,нет,Тбилиси,0.5 гр,0.0027,2203,836,73,30.0,True,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
9,9,02-08-2020 18:20:39,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,,8,нет,Тбилиси,0.5 гр,0.0021,1836,697,61,25.0,True,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
10,10,02-08-2020 18:20:39,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,1,нет,Тбилиси,0.5 гр,0.0037,3055,1155,101,,True,35.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
11,11,02-08-2020 18:20:39,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60.0,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
12,12,02-08-2020 18:20:39,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,4,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60.0,True,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
13,13,02-08-2020 18:20:39,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60.0,True,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,02-08-2020 18:20:39,Tbilisi,bb1791277e,1 gr super lemon haze пробник,,3,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59.0,True,,,,,,,,,,1 gr super lemon haze probnik
15,15,02-08-2020 18:20:39,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59.0,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
16,16,02-08-2020 18:20:39,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
17,17,02-08-2020 18:20:39,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,1 гр,0.0049,4038,1532,134,55.0,,,True,,,,,,,,1 g.Super Skunk top class buds! (podezd)
18,18,02-08-2020 18:20:39,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,True,4,нет,Тбилиси,1 гр,0.0047,3892,1477,129,53.0,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
19,19,02-08-2020 18:20:39,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60.0,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
20,20,02-08-2020 18:20:39,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,18,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49.0,True,,,,,,,,,,1gr HYBRID o.g
21,21,02-08-2020 18:20:39,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49.0,True,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
22,22,02-08-2020 18:20:39,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,14,нет,Тбилиси,1 гр,0.0041,3378,1282,112,46.0,True,,,,,,,,,,Amsterdam weed sativa 1gr
23,23,02-08-2020 18:20:39,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,,20,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,True,,,,,,,,,,Auto Amnesia Haze 1 gr
