,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,11-02-2020 20:39:50,Tbilisi,61df6a1c90,Метадон 0.15гр,True,4,нет,Тбилиси,0.15 гр,0.0114,8313,3203,284,130.0,,,,,,,,,,Metadon 0.15gr
1,1,11-02-2020 20:39:50,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0158,11511,4435,393,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,11-02-2020 20:39:50,Tbilisi,32e645c201,"methadone 0,29 gr",,5,нет,Тбилиси,0.29 гр,0.0203,13429,5174,459,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,11-02-2020 20:39:50,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0158,12150,4682,415,190.0,,,,,,,,,,Metadon 0.30gr
4,4,11-02-2020 20:39:50,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,9,нет,Тбилиси,0.5 гр,0.0028,1855,715,63,29.0,True,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
5,5,11-02-2020 20:39:50,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,11,нет,Тбилиси,0.5 гр,0.0077,5116,1971,175,80.0,,,,,,,,,,ALFA PVP in City 0.5g
6,6,11-02-2020 20:39:50,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,6,нет,Тбилиси,0.5 гр,0.0107,7034,2710,240,110.0,,,,,,,,,,"Cocaine, 0.5 g"
7,7,11-02-2020 20:39:50,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0043,2878,1109,98,45.0,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
8,8,11-02-2020 20:39:50,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0263,19185,7392,655,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
9,9,11-02-2020 20:39:50,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0096,6970,2686,238,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
10,10,11-02-2020 20:39:50,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0263,19185,7392,655,300.0,,,,,,,,,,Metadon 0.6gr
11,11,11-02-2020 20:39:50,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,5,нет,Тбилиси,0.8 гр,0.0116,7674,2957,262,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
12,12,11-02-2020 20:39:50,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,22,нет,Тбилиси,1 гр,0.004,2878,1109,98,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,13,11-02-2020 20:39:50,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0053,3517,1355,120,55.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,11-02-2020 20:39:50,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,10,нет,Тбилиси,1 гр,0.0048,3197,1232,109,50.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
15,15,11-02-2020 20:39:50,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,11,нет,Тбилиси,1 гр,0.0043,2878,1109,98,45.0,,True,True,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
16,16,11-02-2020 20:39:50,Tbilisi,3e177bb968,1gr Green Poison Strong Hybrid VHQ Buds,,1,нет,Тбилиси,1 гр,0.0046,3070,1183,105,48.0,True,,,,,,,,,1gr Green Poison Strong Hybrid VHQ Buds
17,17,11-02-2020 20:39:50,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0086,5930,2286,203,,,,,85.0,,,,,,1gr mdma (skidka v bitkoin 5%)
18,18,11-02-2020 20:39:50,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0043,2878,1109,98,45.0,,,,,,,,,,Afghan HQ buds ! NEW ! 1G
