,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,18-02-2020 11:24:52,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0117,8230,3186,285,130,,,,,,,,,,Metadon 0.15gr
1,18-02-2020 11:24:52,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g. PODEZD,True,1,нет,Тбилиси,0.25 гр,0.0059,3799,1471,132,60,,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,18-02-2020 11:24:52,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0162,11396,4412,395,180,,,,,,,,,,Metadon VHQ 0.25 24/7
3,18-02-2020 11:24:52,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0208,13295,5147,461,210,True,,,,,,,,,"methadone 0,29 gr"
4,18-02-2020 11:24:52,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0161,12029,4657,417,190,,,,,,,,,,Metadon 0.30gr
5,18-02-2020 11:24:52,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0261,18359,7108,636,290,,,,,,,,,,Metadon VHQ 0.5 24/7
6,18-02-2020 11:24:52,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0099,6268,2426,217,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,18-02-2020 11:24:52,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,11,нет,Тбилиси,0.5 гр,0.003,1899,735,66,30,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
8,18-02-2020 11:24:52,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0103,6901,2672,239,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,18-02-2020 11:24:52,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.027,18993,7353,658,300,,,,,,,,,,Metadon 0.6gr
