,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,21-03-2020 11:56:39,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.25 гр,0.0274,14828,5339,486,190.0,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,21-03-2020 11:56:39,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0131,7024,2529,230,90.0,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,21-03-2020 11:56:39,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,6,5,Тбилиси,0.27 гр,0.0367,19511,7025,640,250.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,3,21-03-2020 11:56:39,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",,1,нет,Тбилиси,0.33 гр,0.0071,4208,1518,138,,True,50.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
4,4,21-03-2020 11:56:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0138,7726,2782,253,99.0,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,5,21-03-2020 11:56:39,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,9,нет,Тбилиси,0.5 гр,0.0095,5073,1827,166,65.0,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,6,21-03-2020 11:56:39,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,2,нет,Тбилиси,0.5 гр,0.0582,31218,11240,1024,400.0,True,,,,,,,,,,,Metadon VHQ 0.5 24/7
7,7,21-03-2020 11:56:39,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0073,3902,1405,128,50.0,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,21-03-2020 11:56:39,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0065,3512,1265,115,45.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,21-03-2020 11:56:39,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,8,нет,Тбилиси,1 гр,0.0047,2575,927,84,33.0,,,,,,,,,,,,1G ---> ONLY BUDS
10,10,21-03-2020 11:56:39,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),,3,нет,Тбилиси,1 гр,0.0168,9365,3372,307,120.0,True,,,,,,,,,,,1g MDMA (IMPORTED)
11,11,21-03-2020 11:56:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,1,нет,Тбилиси,1 гр,0.0264,14750,5311,484,189.0,True,,,,,,,,,,,Cocaine Pure VHQ 1g
