,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
22,22,14-06-2020 15:53:48,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0244,16589,6456,571,,True,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
23,23,14-06-2020 15:53:48,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0234,15898,6187,547,,True,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
24,24,14-06-2020 15:53:48,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0202,15138,5891,521,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
25,25,14-06-2020 15:53:48,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0257,17280,6725,595,,True,250.0,,,,,,,,MARIXYANA - INDICA - 5 G.
26,26,14-06-2020 15:53:48,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0239,16244,6322,559,,True,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
27,27,14-06-2020 15:53:48,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.254,190000,87429,6482,,True,,,,,,,,,reagent 25i nbome. 5gr
28,28,14-06-2020 15:53:48,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2772,207366,80700,7134,,,3000.0,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
29,29,14-06-2020 15:53:48,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0985,66288,25797,2281,,True,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
30,30,14-06-2020 15:53:48,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0195,13133,5111,452,,True,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
31,31,14-06-2020 15:53:48,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0502,33801,13154,1163,,True,489.0,,,,,,,,💘✨5g. MDMA ✨💘
32,32,14-06-2020 15:53:48,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0915,62210,24210,2140,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
33,33,14-06-2020 15:53:48,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0407,27649,10760,951,,True,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
34,34,14-06-2020 15:54:31,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0915,62210,24210,2140,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
35,35,14-06-2020 15:54:31,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0407,27649,10760,951,,True,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
36,36,14-06-2020 15:54:31,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0712,48385,18830,1665,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
37,37,14-06-2020 15:54:31,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,4,Тбилиси,10 гр,0.0427,29031,11298,999,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
38,38,14-06-2020 15:54:31,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0813,55298,21520,1902,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
39,39,14-06-2020 15:54:31,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2262,153796,59853,5291,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
40,40,14-06-2020 15:54:31,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1601,107761,41937,3707,,True,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
41,41,14-06-2020 15:54:31,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.081,54537,21224,1876,,True,789.0,,,,,,,,💘✨10gram MDMA ✨💘
42,42,14-06-2020 15:54:31,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0379,25506,9926,878,,True,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,43,14-06-2020 15:54:31,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1386,103683,40350,3567,,True,1500.0,,,,,,,,✨💘20g MDMA💘✨
44,44,14-06-2020 15:54:31,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0615,41404,16113,1424,,True,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
45,45,14-06-2020 15:54:31,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.132,89789,34943,3089,,True,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
46,46,14-06-2020 15:54:31,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.254,172736,67223,5943,,True,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
47,47,14-06-2020 15:54:31,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.244,165893,64560,5707,,True,2400.0,,,,,,,,100 gr marijuana buds
