,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,26-02-2020 10:00:57,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,1,нет,Тбилиси,2 гр,0.0087,5324,2015,183,82.0,True,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
25,25,26-02-2020 10:00:57,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0084,5129,1941,176,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
26,26,26-02-2020 10:00:57,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0075,4545,1720,156,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
27,27,26-02-2020 10:00:57,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0427,25969,9828,891,400.0,,,,,,,,,"Cocaine, 2 g"
28,28,26-02-2020 10:00:57,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0361,22398,8477,768,345.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
29,29,26-02-2020 10:00:57,Tbilisi,8219f5e7b8,Ketamine 2 g,True,4,нет,Тбилиси,2 гр,0.0192,11686,4423,401,180.0,,,,,,,,,Ketamine 2 g
30,30,26-02-2020 10:00:57,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,6,нет,Тбилиси,2 гр,0.0075,4545,1720,156,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
31,31,26-02-2020 10:00:57,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0369,22658,8575,777,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
32,32,26-02-2020 10:01:31,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.026000000000000002,15906,6020,546,245.0,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
33,33,26-02-2020 10:01:31,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0113,6817,2580,234,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
34,34,26-02-2020 10:01:31,Tbilisi,ae784bef73,NEW ! Easy Bud ! 3g,True,5,нет,Тбилиси,3 гр,0.0085,5194,1966,178,80.0,,,,,,,,,NEW ! Easy Bud ! 3g
35,35,26-02-2020 10:01:31,Tbilisi,4be7861731,metadon sirop 4ml,True,2,нет,Тбилиси,4 гр,0.0071,4350,1646,149,67.0,,,,,,,,,metadon sirop 4ml
