,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Varketili,Vazisubani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,26-05-2020 15:39:28,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,True,5,нет,Тбилиси,0.5 гр,0.0061,3938,1491,132,55.0,,,,,,,,,,,,HQ Euro Hashish 0.5 g
1,1,26-05-2020 15:39:28,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,14,нет,Тбилиси,0.5 гр,0.0033,2148,813,72,30.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,2,26-05-2020 15:39:28,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,5,нет,Тбилиси,1 гр,0.0057,3723,1410,125,52.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
3,3,26-05-2020 15:39:28,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0903,64437,24399,2160,900.0,True,,,,,,,,,,,Metadon 1gr
4,4,26-05-2020 15:39:28,Tbilisi,0dec0e1c48,2gr HYBRID buds,,8,нет,Тбилиси,2 гр,0.0097,6300,2386,211,88.0,,True,,,,,,,,,,2gr HYBRID buds
5,5,26-05-2020 15:39:28,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,1,нет,Тбилиси,2 гр,0.0078,5012,1898,168,70.0,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
6,6,26-05-2020 15:39:28,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,1,нет,Тбилиси,3 гр,0.0143,9308,3524,312,130.0,True,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
7,7,26-05-2020 15:39:28,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0139,8950,3389,300,125.0,,True,,,,,,,,,,3g superskunk top class buds.
8,8,26-05-2020 15:39:28,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0117,7518,2847,252,105.0,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,9,26-05-2020 15:39:28,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,5 гр,0.0131,8520,3226,286,119.0,True,,True,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
