,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-03-2020 23:14:30,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,14,нет,Тбилиси,0.25 гр,0.028999999999999998,13906,5109,445,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,15-03-2020 23:14:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.0509,21956,8067,702,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,2,15-03-2020 23:14:30,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,9,нет,Тбилиси,0.5 гр,0.0185,7978,2931,255,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
3,3,15-03-2020 23:14:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.016,7246,2662,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,15-03-2020 23:14:30,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,10,нет,Тбилиси,0.5 гр,0.0092,4025,1479,129,55.0,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,5,15-03-2020 23:14:30,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0176,7978,2931,255,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,15-03-2020 23:14:30,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,22,нет,Тбилиси,0.5 гр,0.0168,7319,2689,234,100.0,True,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
7,7,15-03-2020 23:14:30,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,1 гр,0.0076,3659,1345,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,8,15-03-2020 23:14:30,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0084,3659,1345,117,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,15-03-2020 23:14:30,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,12,нет,Тбилиси,1 гр,0.0064,2854,1049,91,39.0,,,,,,,,,,,1G ---> ONLY BUDS
10,10,15-03-2020 23:14:30,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0143,6221,2286,199,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
11,11,15-03-2020 23:14:30,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,1 гр,0.0336,14491,5324,463,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
12,12,15-03-2020 23:14:30,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,7,нет,Тбилиси,1 гр,0.0077,3367,1237,108,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
13,13,15-03-2020 23:14:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,7,нет,Тбилиси,1 гр,0.0289,13101,4813,419,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
14,14,15-03-2020 23:14:30,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,5,нет,Тбилиси,1 гр,0.0185,8051,2958,257,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
15,15,15-03-2020 23:14:30,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0084,3659,1345,117,50.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
16,16,15-03-2020 23:14:30,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,True,3,нет,Тбилиси,1 гр,0.0081,3513,1291,112,48.0,,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
17,17,15-03-2020 23:14:30,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,5,нет,Тбилиси,1 гр,0.006999999999999999,3074,1129,98,42.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
18,18,15-03-2020 23:14:30,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0321,14564,5351,466,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
19,19,15-03-2020 23:14:30,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,,5,нет,Тбилиси,1 гр,0.0306,14638,5378,468,200.0,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
20,20,15-03-2020 23:14:30,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0314,13833,5082,442,189.0,,,,,,,,,,,Kokain HQ 1g.
21,21,15-03-2020 23:14:30,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1375,65869,24201,2106,900.0,,,,,,,,,,,Metadon 1gr
22,22,15-03-2020 23:14:30,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0031,1464,538,47,20.0,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
23,23,15-03-2020 23:14:30,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,15,нет,Тбилиси,2 гр,0.0138,6587,2420,211,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
24,24,15-03-2020 23:14:30,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.0611,26348,9680,842,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,25,15-03-2020 23:14:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 2 шт. вес таблетки 450mg,True,1,нет,Тбилиси,2 гр,0.0092,4025,1479,129,55.0,,,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
26,26,15-03-2020 23:14:30,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0596,28543,10487,913,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
27,27,15-03-2020 23:14:30,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0611,27738,10191,887,379.0,,,,,,,,,,,Kokain HQ 2g.
28,28,15-03-2020 23:14:30,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.045,20465,7488,654,,,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
29,29,15-03-2020 23:14:30,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0178,7685,2823,246,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
30,30,15-03-2020 23:14:30,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0489,23420,8605,749,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
31,31,15-03-2020 23:14:30,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0499,21956,8067,702,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
32,32,15-03-2020 23:14:30,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.063,28651,10483,915,,,,350.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
33,33,15-03-2020 23:14:30,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0297,12808,4706,410,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
34,34,15-03-2020 23:15:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1319,57599,21162,1842,787.0,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
35,35,15-03-2020 23:15:13,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0259,12442,4571,398,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
36,36,15-03-2020 23:15:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,5 гр,0.0099,4757,1748,152,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,37,15-03-2020 23:15:13,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0655,28909,10622,924,395.0,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
