,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,25-02-2020 19:27:54,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0104,7141,2703,245,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,25-02-2020 19:27:54,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,10,нет,Тбилиси,0.5 гр,0.003,1883,713,65,29.0,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
2,2,25-02-2020 19:27:54,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0093,6427,2432,220,99.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,25-02-2020 19:27:54,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,9,нет,Тбилиси,0.5 гр,0.0031,1948,737,67,30.0,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
4,4,25-02-2020 19:27:54,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,8,нет,Тбилиси,0.5 гр,0.0104,6427,2432,220,99.0,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,25-02-2020 19:27:54,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.0155,9738,3686,334,150.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
6,6,25-02-2020 19:27:54,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,4,нет,Тбилиси,1 гр,0.0103,6427,2432,220,99.0,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
7,7,25-02-2020 19:27:54,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0124,7791,2948,267,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
8,8,25-02-2020 19:27:54,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0093,5843,2211,200,90.0,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
9,9,25-02-2020 19:27:54,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,5,нет,Тбилиси,1 гр,0.0036,2272,860,78,35.0,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
10,10,25-02-2020 19:27:54,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,5,нет,Тбилиси,1 гр,0.0104,6492,2457,222,100.0,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
11,11,25-02-2020 19:27:54,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0088,5518,2088,189,85.0,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
12,12,25-02-2020 19:27:54,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,14,нет,Тбилиси,1 гр,0.0038,2402,909,82,37.0,True,,,,,,,,,1G -- AK-47 -> Sativa
