,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,24-05-2020 04:29:29,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,8,нет,Тбилиси,0.25 гр,0.0106,7188,2705,240,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,24-05-2020 04:29:29,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,2156,812,72,30,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,24-05-2020 04:29:29,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.017,11429,4301,381,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,24-05-2020 04:29:29,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
4,24-05-2020 04:29:29,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
5,24-05-2020 04:29:29,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,24-05-2020 04:29:29,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0868,64692,24345,2159,900,,,,,,,,,,,Metadon 1gr
7,24-05-2020 04:29:29,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
8,24-05-2020 04:29:29,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0504,34503,12984,1151,480,,,,,,,,,,,VHQ BEST Cocaine 2g.
9,24-05-2020 04:29:29,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,1,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
