,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,14-02-2020 14:13:37,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,4,нет,Тбилиси,0.15 гр,0.0114,8268,3203,286,130,,,,,,,,,,Metadon 0.15gr
1,14-02-2020 14:13:37,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0058,3816,1478,132,60,,,,,,,,,,Iranian Sirec 0.25g.
2,14-02-2020 14:13:37,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0157,11448,4435,396,180,,,,,,,,,,Metadon VHQ 0.25 24/7
3,14-02-2020 14:13:37,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,1,нет,Тбилиси,0.29 гр,0.0202,13356,5174,462,210,True,,,,,,,,,"methadone 0,29 gr"
4,14-02-2020 14:13:37,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,12,нет,Тбилиси,0.33 гр,0.0055,3816,1478,132,60,,,,,,,,,,"A PVP 0,33 VHQ"
5,14-02-2020 14:13:37,Tbilisi,LYHBG,Playboy,"0,5 MDMA / White sparks / purity 93%",True,4,нет,Тбилиси,0.5 гр,0.0067,4389,1700,152,69,,,,,,,,,,"0,5 MDMA / White sparks / purity 93%"
6,14-02-2020 14:13:37,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,3,нет,Тбилиси,0.5 гр,0.0116,7569,2932,262,119,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
7,14-02-2020 14:13:37,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,7,нет,Тбилиси,0.5 гр,0.0057,3753,1454,130,59,,,,,,,,,,0.5 g. Ketamine
8,14-02-2020 14:13:37,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,10,нет,Тбилиси,0.5 гр,0.0028,1844,715,64,29,,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
9,14-02-2020 14:13:37,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,3,нет,Тбилиси,0.5 гр,0.0107,6996,2710,242,110,,,,,,,,,,"Cocaine, 0.5 g"
10,14-02-2020 14:13:37,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0058,3816,1478,132,60,,,,,,,,,,Ketamine 0.5g
11,14-02-2020 14:13:37,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0262,19080,7392,660,300,,,,,,,,,,Metadon VHQ 0.5 24/7
12,14-02-2020 14:13:37,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,5,нет,Тбилиси,0.5 гр,0.0096,6297,2439,218,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
13,14-02-2020 14:13:37,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,8,нет,Тбилиси,0.5 гр,0.0029,1908,739,66,30,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
14,14-02-2020 14:13:37,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0101,6933,2686,240,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
15,14-02-2020 14:13:37,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0026,1908,739,66,30,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
16,14-02-2020 14:13:37,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0262,19080,7392,660,300,,,,,,,,,,Metadon 0.6gr
17,14-02-2020 14:13:37,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,9,нет,Тбилиси,0.8 гр,0.0115,7632,2957,264,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
18,14-02-2020 14:13:37,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0039,2862,1109,99,45,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
19,14-02-2020 14:13:37,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,10,нет,Тбилиси,1 гр,0.0115,7632,2957,264,120,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
20,14-02-2020 14:13:37,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0048,3180,1232,110,50,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
21,14-02-2020 14:13:37,Tbilisi,7R3WM,RastaShop,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,10,нет,Тбилиси,1 гр,0.0043,2862,1109,99,45,,True,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
22,14-02-2020 14:13:37,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0082,5406,2094,187,85,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
23,14-02-2020 14:13:37,Tbilisi,LYHBG,Playboy,1g MDMA - !!!NEW!!! - Purity 93%,True,2,нет,Тбилиси,1 гр,0.0106,6933,2686,240,109,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
24,14-02-2020 14:13:37,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,9,нет,Тбилиси,1 гр,0.0192,12593,4879,436,198,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,14-02-2020 14:13:37,Tbilisi,03F3,geoshop,2 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,8,нет,Тбилиси,1 гр,0.0077,5088,1971,176,80,,,,,,,,,,2 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
