,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Vake,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
42,14-03-2020 13:14:36,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0148,7246,2662,232,99,,,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
43,14-03-2020 13:14:36,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0632,29275,10756,936,400,,,,,,,,,,,,,gashish evro 10g
44,14-03-2020 13:14:36,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1397,62064,22803,1984,848,,,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
45,14-03-2020 13:14:36,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0449,19761,7260,632,270,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
46,14-03-2020 13:14:36,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.061,27080,9949,866,370,,,,,,,,,,,,,Methadone HQ in city 0.75g
47,14-03-2020 13:14:36,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0585,26275,9654,840,359,,,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
48,14-03-2020 13:14:36,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0982,43181,15865,1381,590,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
49,14-03-2020 13:14:36,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0659,29275,10756,936,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
50,14-03-2020 13:14:36,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0906,40254,14790,1287,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,14-03-2020 13:14:36,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0257,11417,4195,365,156,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
