,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,10-07-2020 15:50:20,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0175,12821,4896,438,,180,,,,,,,,,11+ GRAMM BEASTWEED NEW
24,10-07-2020 15:50:20,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0485,35615,13600,1217,,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
25,10-07-2020 15:50:20,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4630,1768,158,,65,,,,,,,,,Silver haze leaves list'ja 15gr sale
26,10-07-2020 15:50:20,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2153,142460,54400,4866,,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,10-07-2020 15:50:20,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,5,Тбилиси,1 гр,0.0376,24883,9517,854,310,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
28,10-07-2020 15:50:20,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0145,10684,4080,365,,150,,,,,,,,,Northern Lights Regular [budsonly] 3gram
29,10-07-2020 15:50:20,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,3,Тбилиси,4 гр,0.0427,28492,10880,973,,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,10-07-2020 15:50:20,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0267,17807,6800,608,,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
31,10-07-2020 15:50:20,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0587,39176,14960,1338,,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,10-07-2020 15:50:20,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0288,19232,7344,657,,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,10-07-2020 15:51:13,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0299,19944,7616,681,,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,10-07-2020 15:51:13,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0293,19588,7480,669,,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,10-07-2020 15:51:13,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0256,17095,6528,584,,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,10-07-2020 15:51:13,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0299,19944,7616,681,,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,10-07-2020 15:51:13,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0288,19232,7344,657,,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,10-07-2020 15:51:13,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0212,15599,5957,533,,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
