,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-03-2020 05:18:13,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.021,14179,5414,494,210.0,,,,,,,,Metadon VHQ 0.25 24/7
1,1,10-03-2020 05:18:13,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,3,нет,Тбилиси,0.35 гр,0.0356,21606,8250,753,320.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,10-03-2020 05:18:13,Tbilisi,da96c34455,ALFA PVP 1g,True,2,нет,Тбилиси,1 гр,0.013999999999999999,9452,3609,329,140.0,,,,,,,,ALFA PVP 1g
3,3,10-03-2020 05:18:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.02,12761,4872,445,189.0,,,,,,,,Cocaine Pure VHQ 1g
4,4,10-03-2020 05:18:13,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.005,3038,1160,106,45.0,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
5,5,10-03-2020 05:18:13,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0088,5401,2062,188,80.0,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
6,6,10-03-2020 05:18:13,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,5,нет,Тбилиси,1 гр,0.013999999999999999,9452,3609,329,140.0,,,,,,,,NZT-52 mind storm limited 1g muka
7,7,10-03-2020 05:18:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.021,13436,5130,468,199.0,,,,,,,,VHQ BEST Cocaine 1g.
8,8,10-03-2020 05:18:13,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0206,12761,4872,445,189.0,,,,,,,,Kokain HQ 1g.
9,9,10-03-2020 05:18:13,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0197,12086,4615,421,179.0,True,,,,,,,Kokain KOLUMBIA 1g
10,10,10-03-2020 05:18:13,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0901,60766,23202,2117,900.0,,,,,,,,Metadon 1gr
11,11,10-03-2020 05:18:13,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,7,нет,Тбилиси,2 гр,0.0035,2363,902,82,35.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
12,12,10-03-2020 05:18:13,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0401,25589,9771,891,379.0,,,,,,,,Kokain HQ 2g.
13,13,10-03-2020 05:18:13,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0177,10735,4099,374,159.0,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
14,14,10-03-2020 05:18:13,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0172,10465,3996,365,155.0,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
15,15,10-03-2020 05:18:13,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.032,21606,8250,753,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
16,16,10-03-2020 05:18:13,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0445,28441,11063,1003,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
17,17,10-03-2020 05:18:13,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),,5,нет,Тбилиси,5 гр,0.0139,9385,3583,327,139.0,True,,,,,,,5gr georgian indica (hight quality)
18,18,10-03-2020 05:18:13,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0195,11816,4512,412,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,10-03-2020 05:18:13,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,8,нет,Тбилиси,5 гр,0.0164,10128,3867,353,150.0,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
20,20,10-03-2020 05:18:13,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0177,10735,4099,374,159.0,,,,,,,,NEW !!! 5G OG KusH !!! NEW
