,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
23,23,19-04-2020 09:13:18,Tbilisi,54915c4374,Н бооом 4 штуки (Авлабври),True,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
24,24,19-04-2020 09:13:18,Tbilisi,54915c4374,Н бооом 4 штуки (Темка),True,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,N booom 4 shtuki (Temka)
25,25,19-04-2020 09:13:18,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,N booom 4 shtuki (vazisubani)
26,26,19-04-2020 09:13:18,Tbilisi,54915c4374,Н бооом 4 штуки (варкетили),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,True,,,,,,,,,,N booom 4 shtuki (varketili)
27,27,19-04-2020 09:13:18,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0271,14715,5453,487,199.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
28,28,19-04-2020 09:13:18,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0413,23662,8768,782,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,29,19-04-2020 09:13:18,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.04,22183,8220,734,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,30,19-04-2020 09:13:18,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0228,12497,4631,413,169.0,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
31,31,19-04-2020 09:13:18,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,5,нет,Тбилиси,5 гр,0.018000000000000002,9909,3672,328,134.0,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
32,32,19-04-2020 09:13:18,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,4,нет,Тбилиси,5 гр,0.0238,12940,4795,428,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
33,33,19-04-2020 09:13:18,Tbilisi,2f51af8159,SPECIAL FOR FUSHE HEROINE 6g,,1,нет,Тбилиси,6 гр,0.4188,230000,105835,7601,,,,,,True,,,,,,SPECIAL FOR FUSHE HEROINE 6g
34,34,19-04-2020 09:13:18,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0281,15454,5727,511,209.0,,,,,,,,,,,10 gr marijuana buds. -indica-
35,35,19-04-2020 09:14:09,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,нет,Тбилиси,10 гр,0.0135,7394,2740,245,100.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
