,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,15-03-2020 13:15:08,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.017,7319,2689,234,100,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,15-03-2020 13:15:08,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0294,13906,5109,445,190,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,15-03-2020 13:15:08,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,7,нет,Тбилиси,0.25 гр,0.0272,11710,4302,374,160,,,,,,,,,,,,"Metadon VHQ 0,25"
3,15-03-2020 13:15:08,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0516,21956,8067,702,300,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
4,15-03-2020 13:15:08,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0162,7246,2662,232,99,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,15-03-2020 13:15:08,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,16,нет,Тбилиси,0.5 гр,0.0094,4025,1479,129,55,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,15-03-2020 13:15:08,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0178,7978,2931,255,109,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,15-03-2020 13:15:08,Tbilisi,V4T,COCAcoLA,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,24,нет,Тбилиси,0.5 гр,0.017,7319,2689,234,100,True,,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
8,15-03-2020 13:15:08,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,9,нет,Тбилиси,0.5 гр,0.0043,1830,672,59,25,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
9,15-03-2020 13:15:08,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0077,3659,1345,117,50,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
