,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
0,11-08-2020 13:52:18,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,19,нет,Тбилиси,0.3 гр,0.0073,6640,2502,220,90,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,11-08-2020 13:52:18,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0028,2435,917,81,33,,,,,,,,,,,,,0.5 gr HYBRID buds
2,11-08-2020 13:52:18,Tbilisi,7R3WM,RastaShop,0.5 gr. Purple Haze ☘️(100 % Sativa)☘️,,5,нет,Тбилиси,0.5 гр,0.0027,2361,890,78,32,True,,,,,,,,,,,,0.5 gr. Purple Haze ☘️(100 % Sativa)☘️
3,11-08-2020 13:52:18,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),True,19,нет,Тбилиси,0.5 гр,0.0021,1844,695,61,25,True,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,11-08-2020 13:52:18,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2213,834,73,30,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,11-08-2020 13:52:18,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1844,695,61,25,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,11-08-2020 13:52:18,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,2,нет,Тбилиси,0.5 гр,0.0021,1844,695,61,25,,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
7,11-08-2020 13:52:18,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,16,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,11-08-2020 13:52:18,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,9,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,11-08-2020 13:52:18,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,11-08-2020 13:52:18,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,,1 gr super lemon haze probnik
11,11-08-2020 13:52:18,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
12,11-08-2020 13:52:18,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
13,11-08-2020 13:52:18,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
14,11-08-2020 13:52:18,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,4,нет,Тбилиси,1 гр,0.0047,4058,1529,135,55,,True,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
15,11-08-2020 13:52:18,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0333,28698,10814,952,389,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
16,11-08-2020 13:52:18,Tbilisi,OX85,amnesia420,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,2,нет,Тбилиси,1 гр,0.0041,3541,1334,118,48,,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
17,11-08-2020 13:52:18,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
18,11-08-2020 13:52:18,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,30,нет,Тбилиси,1 гр,0.0041,3615,1362,120,49,,,,,,,,,,,,,1gr HYBRID o.g
19,11-08-2020 13:52:18,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,15,нет,Тбилиси,1 гр,0.0049,4205,1585,140,57,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
20,11-08-2020 13:52:18,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,3,нет,Тбилиси,1 гр,0.0041,3615,1362,120,49,,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
21,11-08-2020 13:52:18,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
22,11-08-2020 13:52:18,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,4,нет,Тбилиси,1 гр,0.0048,4205,1585,140,57,True,,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
23,11-08-2020 13:52:18,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3984,1501,132,54,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
24,11-08-2020 13:52:18,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,4,нет,Тбилиси,1 гр,0.0049,4279,1612,142,58,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
