,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
101,101,06-02-2020 09:13:48,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.083,51045,20119,1740,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
102,102,06-02-2020 09:13:48,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.305,208475,82170,7108,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
103,103,06-02-2020 09:13:48,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0585,37905,14940,1292,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
104,104,06-02-2020 09:13:48,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1109,75809,29880,2585,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
105,105,06-02-2020 09:13:48,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0878,56857,22410,1939,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
106,106,06-02-2020 09:13:48,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0966,60015,23655,2046,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
107,107,06-02-2020 09:13:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2033,126348,49800,4308,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
108,108,06-02-2020 09:13:48,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.183,113714,44820,3877,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
109,109,06-02-2020 09:13:48,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2542,157936,62250,5385,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
110,110,06-02-2020 09:13:48,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0397,27165,10707,926,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
111,111,06-02-2020 09:13:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4676,290601,114540,9908,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
112,112,06-02-2020 09:13:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7625,473807,186750,16155,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
113,113,06-02-2020 09:13:48,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8641,536981,211650,18309,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
114,114,06-02-2020 09:13:48,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0185,12635,4980,431,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
115,115,06-02-2020 09:13:48,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0185,12635,4980,431,200.0,,,,,,,,,,Trebuetsja Kur'er
116,116,06-02-2020 09:13:48,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0203,12635,4980,431,200.0,,,,,,,,,,Trebuetsja sotrudnik
117,117,06-02-2020 09:13:48,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,12635,4980,431,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
118,118,06-02-2020 09:13:48,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0254,15794,6225,539,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
119,119,06-02-2020 09:13:48,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5388,947613,373500,32310,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
120,120,06-02-2020 09:15:16,Batumi,d4df7908c3,"Шишки / weed OGKZ, 0,5г",,2,нет,Батуми,0.5 гр,0.0028,1706,672,58,27.0,,,,,,,True,,,"Shishki / weed OGKZ, 0,5g"
121,121,06-02-2020 09:15:16,Batumi,012f23b5ea,Power Africa 1g,,2,нет,Батуми,1 гр,0.0046,3159,1245,108,50.0,,,,,,,,True,,Power Africa 1g
122,122,06-02-2020 09:15:16,Batumi,012f23b5ea,Power Africa 2g,,1,нет,Батуми,2 гр,0.0079,5370,2117,183,85.0,,,,,,,True,,,Power Africa 2g
123,123,06-02-2020 09:15:16,Batumi,d50134d8a6,speedi+ 2g,,2,нет,Батуми,2 гр,0.0083,5686,2241,194,90.0,,,,,,,,True,,speedi+ 2g
124,124,06-02-2020 09:15:16,Batumi,d4df7908c3,"Шишки / weeds OGKZ, 2г",,1,нет,Батуми,2 гр,0.0102,6254,2465,213,99.0,,,,,,,True,,,"Shishki / weeds OGKZ, 2g"
125,125,06-02-2020 09:15:16,Batumi,d50134d8a6,"Combo: bruce lee, wembley, speedi+ (3g)",,4,нет,Батуми,3 гр,0.0139,9476,3735,323,150.0,,,,,,,,True,,"Combo: bruce lee, wembley, speedi+ (3g)"
126,126,06-02-2020 09:15:16,Batumi,c225d2f67d,Гашиш Евро 4гр,,1,нет,Батуми,4 гр,0.0199,12635,4980,431,200.0,,,,,,,,True,,Gashish Evro 4gr
127,127,06-02-2020 09:15:16,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,6,10,Батуми,0.27 гр,0.0233,14341,5652,489,227.0,,,,,,,,True,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
128,128,06-02-2020 09:15:16,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,3,19,Батуми,5 гр,0.0185,12635,4980,431,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
129,129,06-02-2020 09:15:16,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0965,60015,23655,2046,950.0,,,,,,,,True,,Hybrid Skunk! 50 gr
130,130,06-02-2020 09:15:16,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1829,113714,44820,3877,1800.0,,,,,,,,True,,Hybrid Skunk! 100 gr
131,131,06-02-2020 09:15:16,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3079,189523,74700,6462,3000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
132,132,06-02-2020 09:15:16,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2565,157936,62250,5385,2500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
133,133,06-02-2020 09:15:16,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0103,6317,2490,215,100.0,,,,,,,,True,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
134,134,06-02-2020 09:15:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0046,3159,1245,108,50.0,,,,,,,,True,,kur'er v Batumi
135,135,06-02-2020 09:15:16,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0046,3159,1245,108,50.0,,,,,,,,True,,Vakansija Kur'era v Batumi
136,136,06-02-2020 09:15:16,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0073,5000,2301,171,,,,,,,,,True,,Vakansija Kur'era v Batumi
137,137,06-02-2020 09:15:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,15794,6225,539,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
138,138,06-02-2020 09:15:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5379,947613,373500,32310,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
139,139,06-02-2020 09:15:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,31587,12450,1077,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
140,140,06-02-2020 09:16:33,Kutaisi,d4df7908c3,"Шишки/weed OG Kush, (удобные клады в подъездах в центре) 1гр.",,нет,3,Кутаиси,1 гр,0.0038,2337,921,80,37.0,,,,,,,,,True,"Shishki/weed OG Kush, (udobnye klady v pod'ezdah v tsentre) 1gr."
141,141,06-02-2020 09:16:33,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,нет,3,Кутаиси,3 гр,0.0108,6633,2615,226,105.0,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
142,142,06-02-2020 09:16:33,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 5g",,нет,3,Кутаиси,5 гр,0.0164,10108,3984,345,160.0,,,,,,,,,True,"Shishki/Weeds OG Kush, 5g"
143,143,06-02-2020 09:16:33,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0103,6317,2490,215,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
