,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
26,26,06-02-2020 09:09:02,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0184,12572,4955,429,199.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
27,27,06-02-2020 09:09:02,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.019,11940,4706,407,189.0,,,,,,,,,,Kokain HQ 1g.
28,28,06-02-2020 09:09:02,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,4,нет,Тбилиси,1 гр,0.0202,12572,4955,429,199.0,,,True,,,,,,,Kokain KOLUMBIA 1g
29,29,06-02-2020 09:09:02,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0439,28428,11205,969,450.0,,,,,,,,,,Metadon 1gr
30,30,06-02-2020 09:09:02,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0457,28428,11205,969,450.0,,,,,,,,,,"Metadon, 1gr"
31,31,06-02-2020 09:09:02,Tbilisi,6b3ed5f127,мощный гибрид /hybrid weed 1g strong,,4,нет,Тбилиси,1 гр,0.0032,2211,872,75,35.0,True,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
32,32,06-02-2020 09:09:02,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,6,нет,Тбилиси,2 гр,0.0071,4485,1768,153,71.0,True,,,,,,,,,2G -- AK-47 -> Sativa
33,33,06-02-2020 09:12:29,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.037000000000000005,22743,8964,775,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
34,34,06-02-2020 09:12:29,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.0383,24322,9587,829,385.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
35,35,06-02-2020 09:12:29,Tbilisi,3c4662c591,Hybrid Marijuana High Quality 2G,True,1,нет,Тбилиси,2 гр,0.0081,5054,1992,172,80.0,,,,,,,,,,Hybrid Marijuana High Quality 2G
36,36,06-02-2020 09:12:29,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0185,11371,4482,388,180.0,,,,,,,,,,Ketamine 2 g
37,37,06-02-2020 09:12:29,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,3,нет,Тбилиси,2 гр,0.0072,4422,1743,151,70.0,,,,,,,,,,"LSD - 250 ug, 2 pieces"
38,38,06-02-2020 09:12:29,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0222,15162,5976,517,240.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
