,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,02-07-2020 11:33:50,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,7,нет,Тбилиси,0.5 гр,0.0035,2325,898,80,33.0,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
1,1,02-07-2020 11:33:50,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,3,нет,Тбилиси,0.5 гр,0.0147,9862,3808,339,140.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
2,2,02-07-2020 11:33:50,Tbilisi,16a8841259,Jamaican 0.5Г,True,1,нет,Тбилиси,0.5 гр,0.0033,2184,843,75,31.0,,,,,,,,,,Jamaican 0.5G
3,3,02-07-2020 11:33:50,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0034,2254,870,78,32.0,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
4,4,02-07-2020 11:33:50,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,1 гр,0.0063,4226,1632,145,60.0,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,02-07-2020 11:33:50,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,1 гр,0.0062,4156,1605,143,59.0,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,02-07-2020 11:33:50,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0063,4226,1632,145,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,02-07-2020 11:33:50,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0063,4226,1632,145,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,02-07-2020 11:33:50,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0058,3874,1496,133,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,9,02-07-2020 11:33:50,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,6,нет,Тбилиси,1 гр,0.0062,4156,1605,143,59.0,,,,,,,,,,1 gr super lemon haze probnik
10,10,02-07-2020 11:33:50,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,8,нет,Тбилиси,1 гр,0.0062,4156,1605,143,59.0,,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
11,11,02-07-2020 11:33:50,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4156,1605,143,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,02-07-2020 11:33:50,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,6,нет,Тбилиси,1 гр,0.0056,3733,1442,128,53.0,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,13,02-07-2020 11:33:50,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,1 гр,0.0053,3522,1360,121,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
14,14,02-07-2020 11:33:50,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,5,нет,Тбилиси,1 гр,0.0063,4226,1632,145,60.0,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
15,15,02-07-2020 11:33:50,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0063,4226,1632,145,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
16,16,02-07-2020 11:33:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0314,21062,8133,725,299.0,,,,,,,,,,Cocaine Pure VHQ 1g
17,17,02-07-2020 11:33:50,Tbilisi,16a8841259,Jamaican 1г High Thc,True,4,нет,Тбилиси,1 гр,0.0061,4086,1578,141,58.0,,,,,,,,,,Jamaican 1g High Thc
18,18,02-07-2020 11:33:50,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,1,нет,Тбилиси,1 гр,0.0061,4086,1578,141,58.0,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
19,19,02-07-2020 11:33:50,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,7,нет,Тбилиси,1 гр,0.0019,1268,490,44,18.0,True,,,,,,,,,Marki n-boooom!!! 1 sht.
20,20,02-07-2020 11:33:50,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0116,7749,2992,267,110.0,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
21,21,02-07-2020 11:33:50,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,True,1,нет,Тбилиси,2 гр,0.0399,26768,10336,921,380.0,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
22,22,02-07-2020 11:33:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.063,42265,16320,1455,600.0,,,,,,,,,,VHQ BEST Cocaine 2g.
23,23,02-07-2020 11:33:50,Tbilisi,54915c4374,марки н-боом 2 шт.,,8,нет,Тбилиси,2 гр,0.0037,2465,952,85,35.0,True,,,,,,,,,marki n-boom 2 sht.
24,24,02-07-2020 11:33:50,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,3 гр,0.0091,6128,2366,211,87.0,,,,True,,,,,,3 gr georgian weed. Package on magnet
25,25,02-07-2020 11:33:50,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,5 гр,0.01,7396,2856,255,105.0,,,,,,,,,,5 + GRAMM NEW BEASTWEED
26,26,02-07-2020 11:33:50,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,5 гр,0.0053,3874,1496,133,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
27,27,02-07-2020 11:33:50,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0251,16835,6501,579,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
28,28,02-07-2020 11:33:50,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,10,нет,Тбилиси,10 гр,0.0137,9087,3509,313,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,29,02-07-2020 11:33:50,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0458,31699,12240,1091,450.0,,,,,,,,,,Gashish Evro 10gr
30,30,02-07-2020 11:33:50,Tbilisi,54915c4374,Марки н-боом 10 шт.,True,3,7,Тбилиси,10 гр,0.0105,7044,2720,242,100.0,True,,,,,,,,,Marki n-boom 10 sht.
31,31,02-07-2020 11:33:50,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,10 гр,0.0081,5988,2312,206,85.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,02-07-2020 11:33:50,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,4,нет,Тбилиси,10 гр,0.0091,6692,2584,230,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
33,33,02-07-2020 11:33:50,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,4,нет,Тбилиси,11 гр,0.0172,12679,4896,436,180.0,,,,,,,,,,11+ GRAMM BEASTWEED NEW
34,34,02-07-2020 11:35:02,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4579,1768,158,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
35,35,02-07-2020 11:35:02,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0349,25711,9928,885,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
36,36,02-07-2020 11:35:02,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2122,140883,54400,4849,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,02-07-2020 11:35:02,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,2,Тбилиси,1 гр,0.0046,3099,1197,107,44.0,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
38,38,02-07-2020 11:35:02,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0095,6340,2448,218,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
39,39,02-07-2020 11:35:02,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.053,35150,13573,1210,499.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
40,40,02-07-2020 11:35:02,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0089,5939,2295,204,,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
41,41,02-07-2020 11:35:02,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,6,Тбилиси,3 гр,0.0126,8453,3264,291,120.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
42,42,02-07-2020 11:35:02,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,20,Тбилиси,3 гр,0.0797,52831,20400,1818,750.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
