,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-02-2020 10:59:45,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,8,нет,Тбилиси,0.15 гр,0.0114,8290,3186,286,130,,,,,,,,,,,Metadon 0.15gr
1,19-02-2020 10:59:45,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0158,11479,4412,397,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,19-02-2020 10:59:45,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0203,13392,5147,463,210,True,,,,,,,,,,"methadone 0,29 gr"
3,19-02-2020 10:59:45,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0158,12116,4657,419,190,,,,,,,,,,,Metadon 0.30gr
4,19-02-2020 10:59:45,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,9,нет,Тбилиси,0.5 гр,0.0067,4400,1691,152,69,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
5,19-02-2020 10:59:45,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0106,6951,2672,240,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,19-02-2020 10:59:45,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0028,1849,711,64,29,,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
7,19-02-2020 10:59:45,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0059,3826,1471,132,60,,,,,,,,,,,Ketamine 0.5g
8,19-02-2020 10:59:45,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0255,18493,7108,639,290,,,,,,,,,,,Metadon VHQ 0.5 24/7
9,19-02-2020 10:59:45,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0097,6313,2426,218,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
10,19-02-2020 10:59:45,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,11,нет,Тбилиси,0.5 гр,0.0029,1913,735,66,30,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
11,19-02-2020 10:59:45,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0097,6313,2426,218,99,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
12,19-02-2020 10:59:45,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0264,19131,7353,661,300,,,,,,,,,,,Metadon 0.6gr
13,19-02-2020 10:59:45,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,21,нет,Тбилиси,1 гр,0.004,2870,1103,99,45,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
14,19-02-2020 10:59:45,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0116,7652,2941,264,120,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
15,19-02-2020 10:59:45,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,3,нет,Тбилиси,1 гр,0.0087,5739,2206,198,90,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
16,19-02-2020 10:59:45,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,1 гр,0.0044,2870,1103,99,45,,True,,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
17,19-02-2020 10:59:45,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,8,нет,Тбилиси,1 гр,0.0082,5420,2083,187,85,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
18,19-02-2020 10:59:45,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,21,нет,Тбилиси,1 гр,0.0035,2359,907,82,37,True,,,,,,,,,,1G -- AK-47 -> Sativa
19,19-02-2020 10:59:45,Tbilisi,OX85,amnesia420,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.0034,2487,956,86,39,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
20,19-02-2020 10:59:45,Tbilisi,LYHBG,Playboy,1g MDMA - !!!NEW!!! - Purity 93%,True,10,нет,Тбилиси,1 гр,0.0106,6951,2672,240,109,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
21,19-02-2020 10:59:45,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0089,5873,2261,203,,,,85,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
22,19-02-2020 10:59:45,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,3,нет,Тбилиси,1 гр,0.0082,5420,2083,187,85,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
23,19-02-2020 10:59:45,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0085,5873,2261,203,,,,85,,,,,,,,1gr mdma (skidka v bitkoin 5%)
24,19-02-2020 10:59:45,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0193,12626,4853,436,198,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,19-02-2020 10:59:45,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,5,нет,Тбилиси,1 гр,0.0116,7652,2941,264,120,,,,,,,,,,,Apvp VHQ 1g 24/7
26,19-02-2020 10:59:45,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,7,нет,Тбилиси,1 гр,0.0215,14029,5392,485,220,,,,,,,,,,,"Cocaine, 1g"
27,19-02-2020 10:59:45,Tbilisi,X4ZM,ZYX,Gorilla Glue! 1G ! NEW !,True,1,нет,Тбилиси,1 гр,0.0039,2551,980,88,40,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
28,19-02-2020 10:59:45,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,8,нет,Тбилиси,1 гр,0.0062,4491,1729,155,,,,65,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
29,19-02-2020 10:59:45,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g,True,12,нет,Тбилиси,1 гр,0.0074,4847,1863,167,76,,,,,,,,,,,Hashish Ice-o-lator 1g
30,19-02-2020 10:59:45,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0185,12053,4632,416,189,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
31,19-02-2020 11:00:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0185,12690,4877,438,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
32,19-02-2020 11:00:26,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0162,11160,4289,386,175,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
33,19-02-2020 11:00:26,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0181,12053,4632,416,189,,,,,,,,,,,Kokain HQ 1g.
34,19-02-2020 11:00:26,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0173,11415,4387,394,179,,,,True,,,,,,,Kokain KOLUMBIA 1g
35,19-02-2020 11:00:26,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0396,28696,11030,991,450,,,,,,,,,,,Metadon 1gr
36,19-02-2020 11:00:26,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0387,25508,9804,881,400,,,,,,,,,,,"Metadon, 1gr"
37,19-02-2020 11:00:26,Tbilisi,LYHBG,Playboy,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,2 гр,0.0077,5038,1936,174,79,,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
38,19-02-2020 11:00:26,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,2 гр,0.0075,5420,2083,187,85,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
39,19-02-2020 11:00:26,Tbilisi,0WE,Khachapuri,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.007,4836,1862,167,,,,70,,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
40,19-02-2020 11:00:26,Tbilisi,0WE,Khachapuri,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,3,нет,Тбилиси,2 гр,0.007,4836,1862,167,,,,70,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
41,19-02-2020 11:00:26,Tbilisi,7R3WM,RastaShop,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,1,нет,Тбилиси,2 гр,0.0079,5229,2010,181,82,,True,,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
42,19-02-2020 11:00:26,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,True,13,нет,Тбилиси,2 гр,0.0067,4528,1740,156,71,True,,,,,,,,,,2G -- AK-47 -> Sativa
43,19-02-2020 11:00:26,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0077,5038,1936,174,79,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
44,19-02-2020 11:00:26,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0352,22957,8824,793,360,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
45,19-02-2020 11:00:26,Tbilisi,0WE,Khachapuri,2гр ГАШИШ,True,1,нет,Тбилиси,2 гр,0.0102,7015,2696,242,110,,,,,,,,,,,2gr GAShISh
46,19-02-2020 11:00:26,Tbilisi,P285,Trippyshop,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0361,23595,9069,815,370,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
47,19-02-2020 11:00:26,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0336,22638,8701,782,355,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
48,19-02-2020 11:00:26,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,4,нет,Тбилиси,2 гр,0.0077,5612,2157,194,88,True,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
49,19-02-2020 11:00:26,Tbilisi,Z9UT,Rainbow,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0097,6377,2451,220,100,True,,,,,,,,,,KALI MIST 2G
50,19-02-2020 11:00:26,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,3,нет,Тбилиси,2 гр,0.0176,11479,4412,397,180,,,,,,,,,,,Ketamine 2 g
51,19-02-2020 11:00:26,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0068,4464,1716,154,70,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
52,19-02-2020 11:00:26,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,2,нет,Тбилиси,2 гр,0.0166,11160,4289,386,175,,,,,True,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
53,19-02-2020 11:00:26,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,3,нет,Тбилиси,2 гр,0.0193,14029,5392,485,220,,,,,,,,,,,NZT-52 mind storm limited 2g muka
54,19-02-2020 11:00:26,Tbilisi,UJP9,420Inc,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0081,5420,2083,187,85,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
55,19-02-2020 11:00:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0343,24870,9559,859,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
56,19-02-2020 11:00:26,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0338,22256,8554,769,349,,,,True,,,,,,,Kokain KOLUMBIA 2g
