,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
25,25,27-05-2020 00:16:23,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0412,26251,10004,885,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,26,27-05-2020 00:16:23,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0646,41191,15697,1389,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,27-05-2020 00:16:23,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0442,28456,10844,960,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,27-05-2020 00:16:23,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0155,9960,3795,336,140.0,True,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,27-05-2020 00:16:23,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0608,39127,14911,1320,550.0,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
30,30,27-05-2020 00:16:23,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0608,39127,14911,1320,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,31,27-05-2020 00:16:23,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.026000000000000002,16718,6371,564,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,32,27-05-2020 00:16:23,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0265,17074,6506,576,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,33,27-05-2020 00:17:01,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0264,17074,6506,576,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,34,27-05-2020 00:17:01,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0264,17074,6506,576,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
