,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,Дигоми,Авлобари,Gldani,Varketili,Didube,€,Центр,Батуми,Кутаиси,desc_en
0,0,04-05-2020 22:25:09,Tbilisi,8ddca45a78,"0,5g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,0.5 гр,0.003,2036,760,68,28.0,,,,,,,,,,,,,"0,5g WHITE WIDOW (Hybrid, more sativa)"
1,1,04-05-2020 22:25:09,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,4,нет,Тбилиси,0.5 гр,0.0037,2545,950,85,35.0,True,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,2,04-05-2020 22:25:09,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,0.5 гр,0.0036,2473,923,82,34.0,,True,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
3,3,04-05-2020 22:25:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0144,9818,3665,326,135.0,,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,04-05-2020 22:25:09,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0059,4000,1493,133,55.0,,,True,,,,,,,,,,HQ Euro Hashish 0.5 g
5,5,04-05-2020 22:25:09,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,1,нет,Тбилиси,0.5 гр,0.0028,2109,787,70,29.0,,,,True,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
6,6,04-05-2020 22:25:09,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,6,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55.0,True,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,04-05-2020 22:25:09,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,1 гр,0.0061,4145,1548,138,57.0,,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,8,04-05-2020 22:25:09,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.0061,4145,1548,138,57.0,,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,04-05-2020 22:25:09,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,6,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55.0,True,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
10,10,04-05-2020 22:25:09,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0322,21745,8118,722,299.0,,True,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,11,04-05-2020 22:25:09,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",,3,нет,Тбилиси,1 гр,0.0051,3491,1303,116,48.0,,True,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
12,12,04-05-2020 22:25:09,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",,7,нет,Тбилиси,1 гр,0.0051,3491,1303,116,48.0,,True,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
13,13,04-05-2020 22:25:09,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",,1,нет,Тбилиси,1 гр,0.0051,3491,1303,116,48.0,,True,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
14,14,04-05-2020 22:25:09,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,3,нет,Тбилиси,1 гр,0.004,2982,1113,99,41.0,,True,,,,,,,,,,,Hybrid Ana-sha 1G.
15,15,04-05-2020 22:25:09,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",True,2,нет,Тбилиси,1 гр,0.0047,3564,1330,118,49.0,,,,True,,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
16,16,04-05-2020 22:25:09,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,13,нет,Тбилиси,1 гр,0.0044,2982,1113,99,41.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
17,17,04-05-2020 22:25:09,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0872,65454,24435,2173,900.0,,True,,,,,,,,,,,Metadon 1gr
18,18,04-05-2020 22:25:09,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",True,10,нет,Тбилиси,1.5 гр,0.0068,5091,1901,169,70.0,,,,True,True,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
19,19,04-05-2020 22:25:09,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,4,нет,Тбилиси,2 гр,0.0096,6473,2416,215,89.0,,True,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
20,20,04-05-2020 22:25:09,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,6,нет,Тбилиси,2 гр,0.0107,7273,2715,241,100.0,,True,,,,,,,,,,,2 G Hybrid Marijuana Buds
21,21,04-05-2020 22:25:09,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,2 гр,0.0096,6473,2416,215,89.0,,True,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
22,22,04-05-2020 22:25:09,Tbilisi,4659482266,2g super Skunk top class buds.,,3,нет,Тбилиси,2 гр,0.0091,6182,2308,205,85.0,,,,,,True,,,,,,,2g super Skunk top class buds.
23,23,04-05-2020 22:25:09,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,2 гр,0.0075,5091,1901,169,70.0,,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
24,24,04-05-2020 22:25:09,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,19,нет,Тбилиси,2 гр,0.0095,6473,2416,215,89.0,,True,,True,,,,True,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
25,25,04-05-2020 22:25:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0506,34909,13032,1159,480.0,,True,,,,,,,,,,,VHQ BEST Cocaine 2g.
26,26,04-05-2020 22:25:09,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,3,нет,Тбилиси,2 гр,0.0091,6182,2308,205,85.0,,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
27,27,04-05-2020 22:25:09,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,4,нет,Тбилиси,3 гр,0.0128,8654,3231,287,119.0,,True,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
28,28,04-05-2020 22:25:09,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,9,нет,Тбилиси,3 гр,0.0139,9454,3530,314,130.0,,True,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
29,29,04-05-2020 22:25:09,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,3 гр,0.0128,8654,3231,287,119.0,,True,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
30,30,04-05-2020 22:25:09,Tbilisi,4659482266,3g superskunk top class buds.,,2,нет,Тбилиси,3 гр,0.0128,8654,3231,287,119.0,,,,,,True,,,,,,,3g superskunk top class buds.
31,31,04-05-2020 22:25:09,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0113,7636,2851,254,105.0,,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
