,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
56,15-02-2020 03:59:50,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,4,нет,Тбилиси,5 гр,0.0152,10089,3918,350,159,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
57,15-02-2020 03:59:50,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0147,9772,3795,339,154,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
58,15-02-2020 03:59:50,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0056,4124,1602,143,65,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
59,15-02-2020 03:59:50,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0191,13325,5174,462,210,,,,,,,,,,,gashish evro 5g
60,15-02-2020 03:59:50,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0363,25381,9856,879,400,,,,,,,,,,,gashish evro 10g
61,15-02-2020 03:59:50,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,20,нет,Тбилиси,10 гр,0.0086,6345,2464,220,100,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
62,15-02-2020 03:59:50,Tbilisi,V8EPD,GREENWEED,SALE 50% шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.0131,8757,3400,303,138,,,,,,,,,,,SALE 50% shishki 11gr. (narkush feminiz)
63,15-02-2020 03:59:50,Tbilisi,ITJ,seazon,weed leaves 13gr +,True,2,нет,Тбилиси,13 гр,0.005,3680,1429,128,58,,,,,,,,,,,weed leaves 13gr +
64,15-02-2020 03:59:50,Tbilisi,ITJ,seazon,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0144,10597,4115,367,167,,,,,,,,,,,georgian weed 15 gr salee !!!
65,15-02-2020 03:59:50,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0706,49303,19145,1708,777,,,,,,,,,,,Gashish Evro 20gr
66,15-02-2020 03:59:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0217,14404,5593,499,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
67,15-02-2020 04:00:17,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0574,38072,14784,1319,600,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
68,15-02-2020 04:00:17,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0379,25381,9856,879,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
69,15-02-2020 04:00:17,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0227,15229,5914,528,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
70,15-02-2020 04:00:17,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0237,15863,6160,550,250,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
71,15-02-2020 04:00:17,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1291,95180,36960,3298,1500,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
72,15-02-2020 04:00:17,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0237,15863,6160,550,250,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
73,15-02-2020 04:00:17,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0237,15863,6160,550,250,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
74,15-02-2020 04:00:17,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,3,Тбилиси,5 гр,0.0188,12627,4903,438,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
75,15-02-2020 04:00:17,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0237,15863,6160,550,250,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
