,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,16-03-2020 18:16:29,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.011,4448,1665,140,60,,,,,,,,,,,Iranian Sirec 0.25g.
1,16-03-2020 18:16:29,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,4,нет,Тбилиси,0.25 гр,0.0317,14084,5273,445,190,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,16-03-2020 18:16:29,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.0556,22238,8325,702,300,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
3,16-03-2020 18:16:29,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,9,нет,Тбилиси,0.5 гр,0.0202,8080,3025,255,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,16-03-2020 18:16:29,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0174,7339,2747,232,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,16-03-2020 18:16:29,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,3,нет,Тбилиси,0.5 гр,0.0101,4077,1526,129,55,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,16-03-2020 18:16:29,Tbilisi,V4T,COCAcoLA,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,22,нет,Тбилиси,0.5 гр,0.0183,7413,2775,234,100,True,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
7,16-03-2020 18:16:29,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,2,нет,Тбилиси,0.5 гр,0.0046,1853,694,59,25,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,16-03-2020 18:16:29,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,1 гр,0.0083,3706,1388,117,50,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,16-03-2020 18:16:29,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0092,3706,1388,117,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,16-03-2020 18:16:29,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,7,нет,Тбилиси,1 гр,0.007,2891,1082,91,39,,,,,,,,,,,1G ---> ONLY BUDS
11,16-03-2020 18:16:29,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,6,нет,Тбилиси,1 гр,0.0147,5930,2220,187,80,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
12,16-03-2020 18:16:29,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0315,13269,4967,419,179,,,,,,,,,,,Cocaine Pure VHQ 1g
13,16-03-2020 18:16:29,Tbilisi,V4T,COCAcoLA,MDMA 1gr лучший товар на площадке!,,4,нет,Тбилиси,1 гр,0.0202,8154,3053,257,110,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
14,16-03-2020 18:16:29,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0917,40769,15263,1287,550,,,,,,,,,,,Metadon VHQ 1 24/7
15,16-03-2020 18:16:29,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,True,4,нет,Тбилиси,1 гр,0.0092,3706,1388,117,50,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
16,16-03-2020 18:16:29,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,4,нет,Тбилиси,1 гр,0.0076,3113,1166,98,42,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
17,16-03-2020 18:16:29,Tbilisi,V4T,COCAcoLA,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0333,14825,5550,468,200,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
18,16-03-2020 18:16:29,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0343,14010,5245,442,189,,,,,,,,,,,Kokain HQ 1g.
19,16-03-2020 18:16:29,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1501,66714,24975,2106,900,,,,,,,,,,,Metadon 1gr
20,16-03-2020 18:16:29,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0033,1483,555,47,20,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
21,16-03-2020 18:16:29,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0202,8080,3025,255,109,,,,,,,,,,,✨ 1g. MDMA ✨
22,16-03-2020 18:16:29,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,18,нет,Тбилиси,2 гр,0.015,6671,2498,211,90,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
